Time on 07 Jun 2021,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
13:28:05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:28:15,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:28:17,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:28:22,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
13:28:24,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
13:28:39,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
13:28:49,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
13:28:51,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13:28:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:29:01,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:29:03,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:29:13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
