Sensor Time, Motor Time, S4_Humidity, S4_Temperature, S6_Humidity, S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
9:53:42,9:53:36,53.0,70.0,50.5,71.4,50.0,71.6,50.2,71.4,50.3,71.8,51.7,71.8,49.1,71.8,51.0,71.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:53:42,9:53:37,53.0,70.0,50.5,71.4,50.0,71.6,50.2,71.4,50.3,71.8,51.7,71.8,49.1,71.8,51.0,71.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:53:42,9:58:07,53.0,70.0,50.5,71.4,50.0,71.6,50.2,71.4,50.3,71.8,51.7,71.8,49.1,71.8,51.0,71.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:53:57,9:58:07,53.0,70.0,54.5,69.4,53.6,69.8,53.9,69.6,53.5,70.0,54.8,69.6,54.0,69.6,53.4,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:54:17,9:58:07,53.0,70.2,54.4,69.4,53.6,69.8,53.8,69.6,53.4,70.0,54.8,69.6,53.9,69.6,53.4,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:54:34,9:58:07,52.6,70.5,54.4,69.6,53.6,69.8,53.8,69.8,53.4,70.0,54.8,69.6,53.9,69.6,53.4,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:55:07,9:58:07,52.1,70.9,54.5,69.6,53.6,69.8,53.9,69.6,53.5,70.0,54.8,69.6,53.8,69.6,53.3,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:55:39,9:58:07,52.1,70.9,54.5,69.6,53.7,70.0,53.9,69.6,53.4,70.0,54.8,69.6,53.9,69.6,53.4,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:55:56,9:58:07,51.8,71.2,54.5,69.6,53.6,70.0,53.9,69.6,53.4,70.0,54.7,69.6,53.8,69.8,53.4,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:56:19,9:58:07,51.9,71.4,54.5,69.6,53.6,70.0,53.9,69.6,53.5,70.0,54.7,69.6,53.8,69.8,53.5,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:56:41,9:58:07,51.7,71.6,54.5,69.6,53.6,69.8,54.0,69.8,53.5,70.0,54.7,69.8,53.8,70.0,53.6,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:57:08,9:58:07,51.5,72.0,54.7,69.8,53.7,69.8,54.0,69.6,53.5,70.0,54.6,69.8,53.7,70.0,53.8,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:57:38,9:58:07,51.5,72.0,54.7,69.8,53.7,69.8,54.0,69.8,53.6,70.0,54.6,70.0,53.7,70.0,53.8,70.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
