Sensor Time,Motor Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
13:25:54,13:25:58,50.7,70.0,52.5,69.6,51.4,70.5,51.4,70.5,52.6,70.3,52.9,70.2,51.2,70.2,51.5,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:14,13:25:58,50.7,70.2,52.6,69.8,50.9,70.5,50.8,70.5,52.6,70.3,52.6,70.3,51.0,70.2,51.4,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:14,13:25:58,50.7,70.2,52.6,69.8,50.9,70.5,50.8,70.5,52.6,70.3,52.6,70.3,51.0,70.2,51.4,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:14,13:25:58,50.7,70.2,52.6,69.8,50.9,70.5,50.8,70.5,52.6,70.3,52.6,70.3,51.0,70.2,51.4,70.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:14,13:25:58,50.7,70.2,52.6,69.8,50.9,70.5,50.8,70.5,52.6,70.3,52.6,70.3,51.0,70.2,51.4,70.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:14,13:30:28,50.7,70.2,52.6,69.8,50.9,70.5,50.8,70.5,52.6,70.3,52.6,70.3,51.0,70.2,51.4,70.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:39,13:30:28,51.3,70.2,52.6,69.8,51.0,70.5,50.8,70.5,52.5,70.3,52.7,70.3,51.0,70.3,51.4,70.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:27:06,13:30:28,51.2,70.5,52.6,69.8,51.0,70.5,51.0,70.5,52.7,70.3,52.6,70.3,51.3,70.3,51.4,70.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:27:26,13:30:28,50.8,70.9,52.6,69.8,51.0,70.5,51.1,70.5,52.6,70.3,52.7,70.3,51.3,70.3,51.5,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:27:38,13:30:28,50.3,71.2,52.5,69.8,51.0,70.5,51.1,70.5,52.6,70.3,52.9,70.3,51.3,70.3,51.5,70.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:28:03,13:30:28,50.0,71.6,52.5,69.8,51.1,70.5,51.1,70.5,52.6,70.5,52.9,70.5,51.3,70.3,51.5,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:28:28,13:30:28,50.0,71.6,52.6,70.0,51.1,70.5,51.2,70.5,52.7,70.5,52.9,70.5,51.3,70.5,51.6,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:28:45,13:30:28,49.7,72.0,52.6,70.0,51.2,70.5,51.3,70.5,52.7,70.5,52.9,70.5,51.3,70.5,51.7,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:29:02,13:30:28,49.4,72.5,52.6,70.0,51.2,70.5,51.4,70.5,52.8,70.5,52.9,70.5,51.3,70.7,51.7,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:29:27,13:30:28,49.2,72.5,52.8,70.2,51.3,70.5,51.6,70.5,52.9,70.5,52.9,70.5,51.3,70.7,51.9,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:29:50,13:30:28,49.2,72.7,52.8,70.2,51.4,70.5,51.7,70.5,52.9,70.5,52.9,70.7,51.4,70.9,52.1,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:30:20,13:30:28,49.0,72.9,52.9,70.2,51.4,70.5,51.8,70.7,52.9,70.7,52.9,70.9,51.4,70.9,52.1,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:30:39,13:30:28,48.7,73.2,53.0,70.3,51.6,70.7,51.8,70.5,53.0,70.7,52.9,70.9,51.4,71.1,52.3,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:30:39,13:34:58,48.7,73.2,53.0,70.3,51.6,70.7,51.8,70.5,53.0,70.7,52.9,70.9,51.4,71.1,52.3,70.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:30:54,13:34:58,48.6,73.4,53.2,70.3,51.6,70.7,51.9,70.5,53.0,70.7,52.9,70.9,51.4,71.1,52.4,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:31:14,13:34:58,48.5,73.4,53.2,70.3,51.7,70.7,52.2,70.7,53.1,70.7,52.9,70.9,51.4,71.1,52.4,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:31:31,13:34:58,48.4,73.6,53.3,70.3,51.8,70.7,52.2,70.5,53.1,70.7,52.9,71.1,51.4,71.1,52.6,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:31:48,13:34:58,48.3,73.9,53.4,70.5,51.8,70.7,52.3,70.7,53.2,70.7,52.9,71.1,51.4,71.2,52.6,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:32:08,13:34:58,48.3,73.9,53.5,70.5,51.9,70.9,52.5,70.5,53.2,70.9,52.9,71.1,51.3,71.2,52.8,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:32:23,13:34:58,48.1,74.1,53.6,70.5,52.0,70.7,52.5,70.7,53.2,70.9,52.8,71.2,51.4,71.4,52.8,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:32:45,13:34:58,47.9,74.3,53.7,70.7,52.1,70.9,52.6,70.7,53.3,70.9,52.9,71.2,51.3,71.4,52.8,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:33:03,13:34:58,47.9,74.5,53.8,70.7,52.2,70.9,52.7,70.7,53.3,70.9,52.8,71.4,51.3,71.4,53.1,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:33:27,13:34:58,47.7,74.7,53.8,70.7,52.2,70.9,52.8,70.7,53.4,71.1,52.8,71.4,51.3,71.6,53.1,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:33:45,13:34:58,47.8,74.8,54.0,70.9,52.3,70.9,52.9,70.7,53.5,70.9,52.8,71.6,51.3,71.6,53.1,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:34:07,13:34:58,47.7,74.8,54.0,70.7,52.4,70.9,53.1,70.7,53.5,71.1,52.8,71.4,51.2,71.6,53.3,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:34:24,13:34:58,47.6,75.0,54.0,70.9,52.4,70.9,53.1,70.7,53.6,71.1,52.7,71.6,51.2,71.8,53.4,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:34:42,13:34:58,47.4,75.2,54.1,70.9,52.5,70.9,53.3,70.9,53.7,71.1,52.7,71.6,51.2,72.0,53.4,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:35:09,13:34:58,47.4,75.2,54.3,71.1,52.6,71.1,53.5,70.9,53.8,71.2,52.7,71.6,51.2,72.0,53.5,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
13:35:09,13:35:01,47.4,75.2,54.3,71.1,52.6,71.1,53.5,70.9,53.8,71.2,52.7,71.6,51.2,72.0,53.5,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:35:09,13:35:04,47.4,75.2,54.3,71.1,52.6,71.1,53.5,70.9,53.8,71.2,52.7,71.6,51.2,72.0,53.5,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:35:09,13:35:07,47.4,75.2,54.3,71.1,52.6,71.1,53.5,70.9,53.8,71.2,52.7,71.6,51.2,72.0,53.5,71.1,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:35:09,13:35:10,47.4,75.2,54.3,71.1,52.6,71.1,53.5,70.9,53.8,71.2,52.7,71.6,51.2,72.0,53.5,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:35:36,13:35:10,47.1,75.6,54.3,71.1,52.7,71.1,53.6,70.9,53.9,71.1,52.9,71.8,51.2,72.0,53.6,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:35:36,13:35:13,47.1,75.6,54.3,71.1,52.7,71.1,53.6,70.9,53.9,71.1,52.9,71.8,51.2,72.0,53.6,71.1,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
13:35:36,13:35:16,47.1,75.6,54.3,71.1,52.7,71.1,53.6,70.9,53.9,71.1,52.9,71.8,51.2,72.0,53.6,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
13:35:36,13:35:25,47.1,75.6,54.3,71.1,52.7,71.1,53.6,70.9,53.9,71.1,52.9,71.8,51.2,72.0,53.6,71.1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
13:35:36,13:35:28,47.1,75.6,54.3,71.1,52.7,71.1,53.6,70.9,53.9,71.1,52.9,71.8,51.2,72.0,53.6,71.1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
13:35:36,13:35:37,47.1,75.6,54.3,71.1,52.7,71.1,53.6,70.9,53.9,71.1,52.9,71.8,51.2,72.0,53.6,71.1,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
13:35:54,13:35:37,47.2,75.6,54.4,71.1,52.8,71.1,53.6,70.9,54.0,71.2,53.0,72.0,50.5,72.0,53.9,71.2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
13:35:54,13:35:46,47.2,75.6,54.4,71.1,52.8,71.1,53.6,70.9,54.0,71.2,53.0,72.0,50.5,72.0,53.9,71.2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
13:35:54,13:35:49,47.2,75.6,54.4,71.1,52.8,71.1,53.6,70.9,54.0,71.2,53.0,72.0,50.5,72.0,53.9,71.2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
13:35:54,13:35:52,47.2,75.6,54.4,71.1,52.8,71.1,53.6,70.9,54.0,71.2,53.0,72.0,50.5,72.0,53.9,71.2,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
13:35:54,13:35:55,47.2,75.6,54.4,71.1,52.8,71.1,53.6,70.9,54.0,71.2,53.0,72.0,50.5,72.0,53.9,71.2,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
