Sensor Time,Motor Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
13:35:57,13:38:13,52.3,70.0,53.8,69.4,51.8,70.9,51.8,70.7,53.3,70.3,52.9,70.7,51.5,70.5,52.1,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:36:17,13:38:13,52.0,70.3,53.8,69.4,51.7,70.7,51.6,70.7,53.3,70.5,52.9,70.7,51.5,70.5,52.1,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:36:49,13:38:13,52.0,70.3,53.7,69.6,51.7,70.9,51.6,70.7,53.3,70.5,52.9,70.7,51.5,70.5,52.1,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:37:01,13:38:13,51.7,70.5,53.6,69.6,51.7,70.9,51.6,70.7,53.4,70.5,53.0,70.7,51.6,70.7,52.2,70.7,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:37:19,13:38:13,51.6,70.7,53.6,69.6,51.7,70.7,51.6,70.7,53.3,70.5,53.0,70.7,51.7,70.7,52.2,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:37:36,13:38:13,51.4,70.9,53.7,69.8,51.8,70.9,51.8,70.7,53.4,70.5,53.0,70.9,51.7,70.7,52.3,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:38:03,13:38:13,51.3,71.1,53.7,69.8,51.9,70.9,51.8,70.7,53.4,70.7,53.0,70.9,51.7,70.7,52.3,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:38:23,13:38:13,51.2,71.6,53.8,69.8,51.9,70.9,52.0,70.7,53.5,70.7,53.0,70.9,51.8,70.9,52.4,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:38:23,13:38:13,51.2,71.6,53.8,69.8,51.9,70.9,52.0,70.7,53.5,70.7,53.0,70.9,51.8,70.9,52.4,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:38:23,13:38:13,51.2,71.6,53.8,69.8,51.9,70.9,52.0,70.7,53.5,70.7,53.0,70.9,51.8,70.9,52.4,70.9,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:38:23,13:38:13,51.2,71.6,53.8,69.8,51.9,70.9,52.0,70.7,53.5,70.7,53.0,70.9,51.8,70.9,52.4,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:38:23,13:40:13,51.2,71.6,53.8,69.8,51.9,70.9,52.0,70.7,53.5,70.7,53.0,70.9,51.8,70.9,52.4,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:38:48,13:40:13,51.1,71.6,53.8,69.8,52.1,70.9,52.2,70.7,53.5,70.7,53.0,71.1,51.8,71.1,52.5,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:39:05,13:40:13,51.1,71.6,53.8,70.0,52.1,71.1,52.3,70.7,53.5,70.7,53.0,71.1,51.9,71.1,52.6,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:39:28,13:40:13,51.2,71.8,53.9,70.0,52.1,70.9,52.5,70.7,53.6,70.9,53.1,71.1,52.0,71.1,52.7,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:39:45,13:40:13,51.2,72.0,54.0,70.2,52.3,70.9,52.6,70.7,53.7,70.9,53.1,71.2,52.1,71.1,52.8,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:40:05,13:40:13,51.0,72.3,54.0,70.2,52.4,70.9,52.8,70.9,53.7,70.9,53.2,71.2,52.2,71.2,52.8,70.9,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:40:19,13:40:13,51.1,72.5,54.0,70.3,52.5,70.9,53.1,70.7,53.8,70.9,53.3,71.4,52.2,71.2,52.9,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:40:19,13:42:14,51.1,72.5,54.0,70.3,52.5,70.9,53.1,70.7,53.8,70.9,53.3,71.4,52.2,71.2,52.9,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:40:39,13:42:14,50.8,72.7,54.1,70.3,52.6,71.1,53.1,70.9,53.8,70.9,53.4,71.4,52.2,71.4,53.1,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:40:57,13:42:14,50.8,72.7,54.2,70.5,52.8,71.1,53.3,70.7,53.9,70.9,53.4,71.4,52.3,71.6,53.3,51.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:41:24,13:42:14,50.9,73.0,54.2,70.5,52.9,71.1,53.5,70.7,54.1,71.1,53.5,71.6,52.3,71.6,53.6,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:41:46,13:42:14,50.8,73.2,54.2,70.7,53.0,71.1,53.6,70.9,54.1,71.1,53.5,71.6,52.3,71.6,53.7,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:42:04,13:42:14,50.8,73.2,54.3,70.5,53.3,71.1,53.8,70.9,54.2,71.1,53.5,71.6,52.5,71.8,53.9,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:42:33,13:42:14,50.8,73.4,54.4,70.7,53.5,71.2,54.0,70.9,54.2,71.2,53.6,71.8,52.5,72.0,53.9,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:42:33,13:44:14,50.8,73.4,54.4,70.7,53.5,71.2,54.0,70.9,54.2,71.2,53.6,71.8,52.5,72.0,53.9,71.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:42:51,13:44:14,50.8,73.6,54.5,70.9,53.7,71.2,54.1,71.1,54.2,71.1,53.6,71.8,52.5,72.0,53.9,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:43:08,13:44:14,50.6,73.8,54.5,70.9,53.8,71.2,54.3,71.1,54.3,71.2,53.6,71.8,52.6,72.0,54.1,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:43:28,13:44:14,50.6,73.8,54.5,70.9,53.9,71.2,54.5,71.1,54.3,71.2,53.6,72.0,52.6,72.0,54.2,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:43:48,13:44:14,50.6,73.9,54.5,71.1,54.0,71.4,54.6,71.1,54.4,71.2,53.8,72.1,52.7,72.1,54.3,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:44:15,13:44:14,50.3,74.3,54.5,71.1,54.1,71.4,54.8,71.1,54.5,71.2,53.7,72.1,52.7,72.1,54.3,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:44:15,13:46:14,50.3,74.3,54.5,71.1,54.1,71.4,54.8,71.1,54.5,71.2,53.7,72.1,52.7,72.1,54.3,71.4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13:44:35,13:46:14,50.3,74.3,55.0,71.2,54.2,71.4,54.8,71.1,54.5,71.4,53.8,72.1,52.8,72.3,54.3,71.4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13:44:55,13:46:14,50.3,74.3,55.0,71.2,54.2,71.4,55.0,71.1,54.7,71.4,53.9,72.3,52.8,72.3,54.4,71.4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
13:45:27,13:46:14,50.1,74.7,55.4,71.4,54.2,71.4,55.0,71.1,54.8,71.4,53.9,72.3,52.8,72.5,54.4,71.4,1,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
