Sensor Time,Motor Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
12:53:23,12:53:29,52.6,70.2,54.3,69.8,53.3,70.2,53.0,70.0,55.2,70.0,54.6,69.6,53.7,70.0,53.6,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:48,12:53:29,52.7,70.3,54.3,69.8,53.3,70.2,52.9,70.0,55.2,70.0,54.6,69.6,53.6,70.0,53.5,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:48,12:53:29,52.7,70.3,54.3,69.8,53.3,70.2,52.9,70.0,55.2,70.0,54.6,69.6,53.6,70.0,53.5,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:48,12:53:29,52.7,70.3,54.3,69.8,53.3,70.2,52.9,70.0,55.2,70.0,54.6,69.6,53.6,70.0,53.5,70.3,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:48,12:53:29,52.7,70.3,54.3,69.8,53.3,70.2,52.9,70.0,55.2,70.0,54.6,69.6,53.6,70.0,53.5,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:48,12:54:59,52.7,70.3,54.3,69.8,53.3,70.2,52.9,70.0,55.2,70.0,54.6,69.6,53.6,70.0,53.5,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:10,12:54:59,52.3,70.9,54.2,69.8,53.2,70.2,52.9,70.0,55.2,70.0,54.5,69.6,53.6,70.0,53.6,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:30,12:54:59,52.3,70.9,54.3,69.8,53.2,70.2,52.9,70.0,55.2,70.0,54.6,69.8,53.6,70.0,53.6,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:42,12:54:59,52.2,71.1,54.5,70.0,53.2,70.2,53.0,70.0,55.2,70.2,54.6,69.8,53.7,70.2,53.6,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:00,12:54:59,52.1,71.2,54.5,70.0,53.3,70.2,53.2,70.0,55.2,70.0,54.6,70.0,53.7,70.2,53.7,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:00,12:56:29,52.1,71.2,54.5,70.0,53.3,70.2,53.2,70.0,55.2,70.0,54.6,70.0,53.7,70.2,53.7,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:14,12:56:29,52.0,71.4,54.5,70.0,53.5,70.2,53.5,70.0,55.2,70.2,54.6,69.8,53.7,70.2,53.8,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:37,12:56:29,51.8,71.6,54.5,70.0,53.6,70.2,53.6,70.2,55.3,70.2,54.6,70.0,53.6,70.2,54.1,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:56:07,12:56:29,51.8,71.8,54.7,70.0,53.6,70.2,53.6,70.2,55.3,70.2,54.6,70.2,53.7,70.3,54.1,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:56:19,12:56:29,51.5,72.0,54.8,70.0,53.7,70.2,53.9,70.2,55.4,70.2,54.6,70.2,53.7,70.5,54.1,70.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:56:36,12:56:29,51.6,72.1,54.8,70.0,53.9,70.3,54.0,70.2,55.4,70.2,54.6,70.3,53.6,70.5,54.2,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:56:36,12:57:59,51.6,72.1,54.8,70.0,53.9,70.3,54.0,70.2,55.4,70.2,54.6,70.3,53.6,70.5,54.2,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:56:53,12:57:59,51.5,72.5,54.9,70.2,53.9,70.2,54.1,70.2,55.4,70.3,54.6,70.3,53.6,70.5,54.3,70.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:57:11,12:57:59,51.4,72.7,54.9,70.3,54.0,70.2,54.5,70.2,55.6,70.3,54.6,70.3,53.6,70.5,54.4,70.3,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:57:30,12:57:59,51.4,72.7,55.0,70.2,54.0,70.2,54.6,70.2,55.6,70.3,54.6,70.5,53.6,70.7,54.6,70.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:57:48,12:57:59,51.2,72.9,55.0,70.2,54.1,70.3,54.6,70.2,55.6,70.3,54.6,70.5,53.6,70.9,54.7,70.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:58:05,12:57:59,51.3,73.0,55.2,70.3,54.2,70.3,54.7,70.2,55.7,70.3,54.6,70.5,53.6,70.9,54.8,70.5,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:58:05,12:59:29,51.3,73.0,55.2,70.3,54.2,70.3,54.7,70.2,55.7,70.3,54.6,70.5,53.6,70.9,54.8,70.5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:58:25,12:59:29,51.2,73.2,55.2,70.3,54.3,70.3,54.9,70.2,55.7,70.3,54.6,70.5,53.5,71.1,54.9,70.5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:58:45,12:59:29,51.0,73.2,55.3,70.3,54.4,70.3,55.0,70.2,55.7,70.5,54.5,70.9,53.6,71.1,55.0,70.5,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
12:59:02,12:59:29,51.2,73.4,55.4,70.5,54.5,70.3,55.2,70.2,55.8,70.3,54.5,70.9,53.5,71.1,55.1,70.7,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
