Sensor Time,Motor Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
12:07:18,12:07:22,52.2,73.6,55.9,71.4,56.1,71.1,56.3,70.7,57.1,71.2,55.3,71.4,54.8,71.6,56.6,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:35,12:07:22,52.0,73.9,55.9,71.4,56.1,71.1,56.6,70.9,57.1,71.2,55.4,71.4,54.8,71.6,56.7,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:35,12:07:22,52.0,73.9,55.9,71.4,56.1,71.1,56.6,70.9,57.1,71.2,55.4,71.4,54.8,71.6,56.7,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:35,12:07:22,52.0,73.9,55.9,71.4,56.1,71.1,56.6,70.9,57.1,71.2,55.4,71.4,54.8,71.6,56.7,71.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:35,12:07:22,52.0,73.9,55.9,71.4,56.1,71.1,56.6,70.9,57.1,71.2,55.4,71.4,54.8,71.6,56.7,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:35,12:09:22,52.0,73.9,55.9,71.4,56.1,71.1,56.6,70.9,57.1,71.2,55.4,71.4,54.8,71.6,56.7,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:57,12:09:22,52.0,73.9,56.0,71.4,56.2,71.1,56.6,70.9,57.2,71.4,55.3,71.4,54.8,71.6,56.8,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:08:20,12:09:22,52.0,74.5,56.1,71.6,56.3,71.1,56.7,70.9,57.3,71.4,55.4,71.6,54.8,71.8,56.9,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:08:45,12:09:22,52.0,74.3,56.2,71.6,56.4,71.1,56.9,70.9,57.3,71.4,55.4,71.7,54.8,71.8,57.0,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:08:59,12:09:22,51.6,74.8,56.3,71.6,56.5,71.1,57.2,71.1,57.4,71.4,55.4,71.8,54.8,72.0,57.1,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:09:34,12:09:22,51.6,74.8,56.5,71.8,56.6,71.2,57.2,71.1,57.5,71.4,55.5,71.8,54.8,72.0,57.3,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:09:34,12:11:22,51.6,74.8,56.5,71.8,56.6,71.2,57.2,71.1,57.5,71.4,55.5,71.8,54.8,72.0,57.3,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:09:57,12:11:22,51.5,75.0,56.5,71.6,56.6,71.1,57.3,71.1,57.4,71.4,55.6,71.8,54.9,72.0,57.4,71.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:10:09,12:11:22,51.4,75.2,56.7,71.8,56.7,71.2,57.4,71.1,57.5,71.6,55.6,72.0,54.9,72.0,57.6,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:10:36,12:11:22,51.4,75.2,56.8,72.0,56.7,71.2,57.5,71.1,57.5,71.6,55.7,72.0,54.9,72.0,57.6,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:10:54,12:11:22,51.2,75.6,56.8,72.0,56.8,71.2,57.6,71.1,57.7,71.6,55.7,72.0,55.0,72.3,57.6,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:11:23,12:11:22,51.2,75.7,56.9,72.0,57.0,71.2,57.7,71.1,57.7,71.8,55.7,72.1,55.0,72.3,57.8,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:11:23,12:13:22,51.2,75.7,56.9,72.0,57.0,71.2,57.7,71.1,57.7,71.8,55.7,72.1,55.0,72.3,57.8,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:11:48,12:13:22,51.1,76.1,57.0,72.1,57.0,71.4,58.0,71.2,57.7,71.8,55.7,72.1,55.0,72.3,58.1,71.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:12:16,12:13:22,51.0,76.1,57.1,72.1,57.2,71.4,58.0,71.1,57.7,71.8,55.8,72.3,55.1,72.5,58.2,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:12:43,12:13:22,51.2,76.3,57.2,72.1,57.2,71.4,58.1,71.2,57.9,71.8,55.8,72.3,55.1,72.5,58.2,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:12:55,12:13:22,50.9,76.5,57.3,72.3,57.3,71.4,58.2,71.2,58.0,72.0,55.8,72.3,55.1,72.7,58.3,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:13:18,12:13:22,50.8,76.5,57.4,72.3,57.3,71.4,58.2,71.2,58.0,72.0,55.8,72.3,55.1,72.7,58.4,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:13:32,12:13:22,51.0,76.6,57.5,72.3,57.4,71.4,58.3,71.2,58.0,72.0,55.8,72.3,55.1,72.7,58.4,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:13:32,12:15:22,51.0,76.6,57.5,72.3,57.4,71.4,58.3,71.2,58.0,72.0,55.8,72.3,55.1,72.7,58.4,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:13:47,12:15:22,50.9,76.6,57.5,72.5,57.5,71.6,58.4,71.2,58.0,72.0,55.9,72.5,55.1,72.9,58.6,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:14:10,12:15:22,50.9,76.8,57.6,72.5,57.6,71.6,58.4,71.2,58.1,72.0,55.9,72.5,55.1,72.9,58.6,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:14:29,12:15:22,50.8,76.8,57.6,72.5,57.6,71.6,58.5,71.4,58.2,72.0,56.0,72.7,55.1,72.9,58.7,71.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:14:44,12:15:22,50.8,77.0,57.6,72.5,57.6,71.6,58.5,71.4,58.2,72.0,56.2,72.7,55.2,72.9,58.7,71.8,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
