Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
9:33:04,59.1,54.1,61.7,53.0,61.9,53.4,62.3,53.0,62.9,53.4,61.3,53.0,61.1,53.0,60.9,54.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33:04,59.1,54.1,61.7,53.0,61.9,53.4,62.3,53.0,62.9,53.4,61.3,53.0,61.1,53.0,60.9,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33:17,59.1,54.1,61.7,53.0,61.9,53.4,62.3,53.0,62.9,53.4,61.3,53.0,61.1,53.0,60.9,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33:32,58.9,54.5,61.7,53.0,61.9,53.4,62.3,53.0,62.9,53.4,61.3,53.0,61.1,53.0,60.9,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33:52,58.1,55.4,61.5,53.0,61.7,53.4,62.3,53.0,62.7,53.4,61.3,52.6,61.1,53.0,60.9,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:34:09,58.1,55.4,61.7,53.0,61.7,53.4,62.1,53.0,62.7,53.7,61.3,53.0,61.1,53.4,60.9,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:34:39,56.5,57.0,61.7,53.0,61.7,53.4,62.1,53.0,62.7,53.4,61.3,53.0,61.1,53.4,60.7,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:35:01,56.3,57.4,61.7,53.0,61.7,53.4,62.1,53.0,62.7,53.7,61.3,53.0,61.1,53.4,60.7,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:35:24,56.1,57.4,61.7,53.0,61.7,53.4,62.1,53.0,62.9,53.7,61.1,53.4,60.9,53.4,60.7,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:35:48,55.9,57.8,61.7,53.4,61.7,53.4,62.1,53.0,62.9,53.7,60.9,53.4,60.9,53.4,60.7,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:36:06,55.4,58.5,61.7,53.4,61.7,53.4,62.3,53.0,62.9,53.7,60.9,53.4,60.9,53.4,60.9,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:36:28,55.2,58.9,61.7,53.4,61.7,53.4,62.3,53.0,63.1,53.7,60.9,53.4,60.9,53.4,61.1,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:36:48,54.8,59.4,62.1,53.4,61.7,53.4,62.3,53.0,62.9,53.7,60.9,53.7,60.7,54.1,61.3,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:37:18,54.0,60.5,62.1,53.4,61.7,53.4,62.5,53.0,63.1,53.7,60.7,53.7,60.7,54.1,61.5,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:37:34,54.0,60.9,62.3,53.7,61.7,53.4,62.5,53.0,63.4,53.7,60.7,54.1,60.7,54.1,61.7,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:37:45,54.0,60.9,62.3,53.7,61.7,53.4,62.5,53.0,63.4,53.7,60.7,54.1,60.7,54.1,61.7,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:38:05,53.8,61.6,62.5,53.7,61.9,53.4,62.7,53.4,63.4,54.1,60.5,54.1,60.9,54.1,61.7,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:38:25,54.0,61.6,62.7,54.1,61.9,53.4,62.9,53.0,63.4,54.1,60.3,54.1,60.7,54.5,61.9,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:38:45,53.8,62.0,62.7,54.1,61.9,53.4,63.1,53.0,63.4,53.7,60.3,54.1,60.7,54.5,62.1,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:38:59,53.6,62.0,62.9,54.1,61.9,53.4,63.4,53.4,63.4,54.1,60.3,54.1,60.7,55.0,62.1,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:39:14,53.6,62.5,63.1,54.1,61.9,53.4,63.4,53.4,63.4,54.1,60.3,54.5,60.7,55.0,62.3,54.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:39:31,53.4,62.9,63.4,54.1,61.9,53.7,63.4,53.0,63.4,54.1,60.3,54.5,60.9,55.4,62.5,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:40:01,53.0,63.6,64.0,54.5,61.9,53.7,63.6,53.4,63.6,54.1,60.1,54.5,60.9,55.4,62.5,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:40:18,53.0,63.6,64.0,54.5,62.1,53.7,63.8,53.4,63.6,54.5,60.1,55.0,60.9,55.4,62.5,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:40:41,52.8,64.0,64.0,54.5,62.1,53.7,63.8,53.4,63.6,54.5,60.1,55.0,60.9,55.4,62.7,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:40:53,52.4,64.4,64.2,54.5,62.3,53.7,64.0,53.4,63.6,54.5,59.9,55.4,60.9,55.4,63.1,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:41:20,52.2,64.4,64.2,54.5,62.5,53.7,64.2,53.4,63.8,54.5,59.9,55.4,60.7,55.6,62.9,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:41:43,52.2,64.9,64.6,54.5,62.5,53.7,64.4,53.4,63.8,54.5,59.7,55.6,60.7,55.6,63.4,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:42:00,52.0,65.3,64.6,55.0,62.5,54.1,64.6,53.4,63.6,54.5,59.7,55.4,60.7,55.6,63.4,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:42:04,52.0,65.3,64.6,55.0,62.7,54.1,64.8,53.7,63.8,55.0,59.5,55.6,60.7,55.6,63.4,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:42:12,52.0,65.3,64.6,55.0,62.7,54.1,64.8,53.7,63.8,55.0,59.5,55.6,60.7,55.6,63.4,54.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:42:40,51.6,65.5,64.6,55.0,62.7,54.1,64.8,53.7,63.8,55.0,59.5,55.6,60.5,56.1,63.6,54.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:42:57,51.6,65.5,64.8,55.0,62.9,54.1,65.0,53.7,63.8,55.0,59.3,56.1,60.5,56.1,63.6,54.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:43:12,51.4,66.0,64.8,55.0,63.1,54.1,65.0,53.7,63.8,55.0,59.1,56.1,60.3,56.1,63.6,54.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:43:31,51.2,66.0,65.0,55.4,63.1,54.1,65.2,53.7,64.0,55.0,59.1,56.1,60.3,56.5,63.8,55.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:43:54,51.2,66.0,65.0,55.4,63.4,54.5,65.4,53.7,64.0,55.4,58.9,56.5,59.9,57.0,64.0,55.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:44:34,51.2,66.4,65.0,55.4,63.4,54.5,65.4,54.1,64.0,55.4,58.9,56.5,59.9,57.0,64.0,55.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:44:49,51.2,66.9,65.2,55.6,63.8,54.5,65.8,53.7,64.0,55.4,58.9,56.5,59.7,57.0,64.2,55.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:45:03,51.0,66.9,65.2,55.6,63.8,54.5,66.2,54.1,64.0,55.4,58.7,56.5,59.5,57.4,64.2,55.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:45:31,51.0,66.9,64.8,55.6,63.8,54.5,66.2,54.1,64.0,55.4,58.5,57.0,59.3,57.4,64.4,55.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:45:51,50.8,67.3,64.8,55.6,64.0,54.5,66.2,54.1,64.0,55.4,58.5,57.0,59.1,57.4,64.4,55.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:46:05,50.6,67.3,64.8,55.6,64.2,55.0,66.4,54.1,64.0,55.4,58.3,57.0,59.1,57.4,64.4,55.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:46:20,50.8,67.3,64.8,56.1,64.4,55.0,66.8,54.1,64.0,55.6,58.3,57.4,58.7,57.6,64.6,55.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:46:35,50.6,67.3,64.8,56.1,64.4,55.0,66.8,54.1,64.0,55.6,58.3,57.4,58.7,57.6,64.8,55.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:46:37,50.6,67.3,64.8,56.1,64.4,55.0,66.8,54.1,64.0,55.6,58.3,57.4,58.7,57.6,64.8,55.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9:46:39,50.6,67.3,64.8,56.1,64.4,55.0,66.8,54.1,64.0,55.6,58.3,57.4,58.7,57.6,64.8,55.4,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
9:46:43,50.6,67.3,64.8,56.1,64.4,55.0,66.8,54.1,64.0,55.6,58.3,57.4,58.7,57.6,64.8,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9:46:49,50.6,67.3,64.8,56.1,64.4,55.0,66.8,54.1,64.0,55.6,58.3,57.4,58.7,57.6,64.8,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9:46:52,50.6,67.3,64.8,56.1,64.4,55.0,66.8,54.1,64.0,55.6,58.3,57.4,58.7,57.6,64.8,55.4,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
