Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
11:19:09,51.6,57.0,56.7,53.7,55.2,54.1,55.9,53.7,57.7,53.7,56.9,53.7,54.8,54.5,55.2,54.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:19:09,51.6,57.0,56.7,53.7,55.2,54.1,55.9,53.7,57.7,53.7,56.9,53.7,54.8,54.5,55.2,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:19:42,51.6,57.0,56.7,53.7,55.2,54.1,55.9,53.7,57.7,53.7,56.9,53.7,54.8,54.5,55.2,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:20:12,51.0,58.1,56.7,53.7,55.2,54.1,55.9,53.7,57.7,53.7,56.9,53.7,54.8,54.5,55.2,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:20:32,51.0,58.1,56.9,53.7,55.4,54.1,56.1,54.1,57.7,54.1,56.9,54.1,54.8,54.5,55.2,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:20:52,50.6,58.9,56.9,54.1,55.4,54.1,56.1,54.1,57.7,54.1,56.9,54.1,54.8,54.5,55.4,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:21:09,50.6,58.9,57.1,54.1,55.6,54.1,56.3,54.1,57.9,54.1,56.9,54.1,54.8,55.0,55.6,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:21:36,50.2,59.6,57.1,54.1,55.6,54.1,56.3,54.1,57.9,54.1,56.9,54.5,54.8,55.2,55.9,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:21:51,49.8,60.0,57.1,54.1,55.9,54.1,56.3,54.1,57.9,54.5,56.9,54.5,54.8,55.4,55.9,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:13,49.6,60.0,57.1,54.5,55.9,54.1,56.5,54.1,57.9,54.1,56.9,54.5,54.8,55.4,56.1,54.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:28,49.6,60.5,57.3,54.5,56.1,54.1,56.5,54.1,57.9,54.5,57.1,54.5,54.8,55.4,56.3,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:43,49.2,61.6,57.3,54.5,56.1,54.1,56.7,54.1,58.1,54.5,57.1,55.0,54.8,55.4,56.5,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:22:58,49.0,61.4,57.3,54.5,56.3,54.5,56.7,54.1,58.1,54.5,57.1,55.0,54.8,55.4,56.7,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:12,49.0,61.6,57.3,54.5,56.3,54.5,56.9,54.1,58.1,54.5,57.3,55.0,54.8,55.6,56.7,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:25,48.8,62.5,57.5,55.0,56.7,54.5,56.9,54.1,58.1,54.5,57.3,55.4,54.8,55.6,56.9,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:39,48.6,62.9,57.5,55.0,56.9,55.0,57.3,54.1,58.3,54.5,57.5,55.4,55.0,56.1,57.1,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:49,48.6,62.9,57.5,55.0,56.9,55.0,57.3,54.1,58.3,54.5,57.5,55.4,55.0,56.1,57.1,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:24:07,49.0,63.3,57.5,55.0,56.9,54.5,57.3,54.1,58.3,55.0,57.7,55.6,55.0,56.1,57.5,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:24:27,48.6,64.0,57.9,55.4,56.9,55.0,57.5,54.1,58.5,55.0,57.9,56.1,55.0,56.1,57.9,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:24:54,48.6,64.0,57.9,55.4,57.5,55.0,57.7,54.5,58.7,55.0,57.9,56.1,55.2,56.5,57.9,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:25:24,48.6,64.4,57.9,55.4,57.5,55.0,58.1,54.5,58.7,55.0,57.9,56.1,55.2,57.0,58.3,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:25:44,48.1,65.3,58.3,55.6,57.7,55.0,58.5,54.5,58.9,55.4,58.1,56.5,55.2,57.0,58.7,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:25:58,48.1,65.3,58.3,55.6,57.9,55.4,58.5,54.5,59.1,55.4,58.1,56.5,55.2,57.4,58.7,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:26:13,48.4,66.0,58.5,55.6,58.1,55.4,58.7,54.5,59.1,55.4,58.3,57.0,55.2,57.4,58.9,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:26:30,47.9,66.0,58.7,55.6,58.5,55.4,58.7,54.5,59.3,55.6,58.3,57.0,55.4,57.4,59.3,55.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:26:50,47.3,66.4,58.9,56.1,58.5,55.4,58.9,55.0,59.3,55.6,58.3,57.4,55.4,57.4,59.3,55.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:27:02,47.3,67.3,59.1,56.5,58.7,55.4,59.1,55.0,59.3,55.6,58.5,57.4,55.4,57.4,59.5,55.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:27:27,47.3,67.5,59.1,56.5,58.9,55.4,59.5,55.0,59.7,55.6,58.5,57.4,55.6,57.6,59.7,55.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:27:50,47.3,68.0,59.3,56.5,59.1,55.4,59.7,55.4,59.7,55.6,58.5,57.6,55.6,58.1,60.1,55.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:28:02,47.1,68.0,59.3,56.5,59.3,55.6,59.7,55.4,59.7,55.6,58.7,58.1,55.9,58.1,60.3,55.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:28:10,47.1,68.0,59.5,56.5,59.5,55.6,59.9,55.4,59.7,55.6,58.7,58.1,55.9,58.5,60.3,55.6,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:28:22,47.1,68.0,59.5,56.5,59.5,55.6,59.9,55.4,59.7,55.6,58.7,58.1,55.9,58.5,60.3,55.6,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:28:34,47.1,68.4,59.7,57.0,59.7,55.9,60.1,55.4,59.9,56.1,58.7,58.1,55.9,58.5,60.7,56.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:29:01,46.5,68.8,60.1,57.4,59.9,56.1,60.9,55.6,59.9,56.1,58.9,58.1,56.1,58.5,60.9,56.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:29:39,46.3,69.5,59.9,57.4,60.3,55.6,60.7,55.6,60.3,56.5,58.9,58.5,56.3,58.9,61.3,56.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:29:54,45.9,69.9,60.1,57.6,60.5,56.1,60.9,55.6,60.3,56.5,58.9,58.9,56.3,59.4,61.3,56.1,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:30:24,45.9,69.9,60.3,58.1,60.7,56.1,61.1,55.6,60.5,56.5,59.1,58.9,56.3,59.4,61.5,56.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:30:41,45.9,70.4,60.5,58.1,61.1,56.1,61.3,55.6,60.7,57.0,59.1,59.4,56.5,59.4,61.7,56.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:31:03,45.9,70.4,60.5,58.1,61.3,56.5,61.7,55.6,60.7,57.0,59.1,59.4,56.5,59.6,61.9,56.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:31:23,45.7,70.8,60.7,58.1,61.5,56.5,61.7,56.1,60.9,57.4,59.1,59.6,56.5,59.6,61.9,56.5,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:31:38,46.3,70.8,60.7,58.1,61.9,56.5,61.9,56.1,61.1,57.4,59.1,59.6,56.5,60.0,62.3,57.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:08,46.1,70.8,60.7,58.5,62.1,56.5,62.1,56.1,61.1,57.4,59.1,60.0,56.7,60.5,62.5,57.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:38,45.9,71.3,60.9,58.9,62.1,57.0,62.3,56.1,61.1,57.4,59.1,60.0,56.7,60.5,62.5,57.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:40,45.7,71.3,60.9,58.9,62.5,57.0,62.9,56.5,61.5,57.6,59.1,60.5,56.7,60.5,62.7,57.4,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:42,45.7,71.3,60.9,58.9,62.5,57.0,62.9,56.5,61.5,57.6,59.1,60.5,56.7,60.5,62.7,57.4,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:44,45.7,71.3,60.9,58.9,62.5,57.0,62.9,56.5,61.5,57.6,59.1,60.5,56.7,60.5,62.7,57.4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11:32:48,45.7,71.3,60.9,58.9,62.5,57.0,62.9,56.5,61.5,57.6,59.1,60.5,56.7,60.5,62.7,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:32:54,45.7,71.3,60.9,58.9,62.5,57.0,62.9,56.5,61.5,57.6,59.1,60.5,56.7,60.5,62.7,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:00,45.7,71.3,60.9,58.9,62.5,57.0,62.9,56.5,61.5,57.6,59.1,60.5,56.7,60.5,62.7,57.4,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11:33:02,46.1,71.3,60.9,58.9,62.7,57.0,63.1,56.5,61.5,57.4,59.1,60.5,57.1,60.9,62.7,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:08,46.1,71.3,60.9,58.9,62.7,57.0,63.1,56.5,61.5,57.4,59.1,60.5,57.1,60.9,62.7,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:10,46.1,71.3,60.9,58.9,62.7,57.0,63.1,56.5,61.5,57.4,59.1,60.5,57.1,60.9,62.7,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:12,46.1,71.3,60.9,58.9,62.7,57.0,63.1,56.5,61.5,57.4,59.1,60.5,57.1,60.9,62.7,57.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11:33:20,46.1,71.3,60.9,58.9,62.7,57.0,63.1,56.5,61.5,57.4,59.1,60.5,57.1,60.9,62.7,57.4,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11:33:27,46.1,71.3,60.9,58.9,62.7,57.0,63.1,56.5,61.5,57.4,59.1,60.5,57.1,60.9,62.7,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:28,46.1,71.3,61.3,58.9,62.9,57.0,63.4,56.5,61.7,58.1,59.1,60.5,56.1,61.4,62.9,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:32,46.1,71.3,61.3,58.9,62.9,57.0,63.4,56.5,61.7,58.1,59.1,60.5,56.1,61.4,62.9,57.4,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:36,46.1,71.3,61.3,58.9,62.9,57.0,63.4,56.5,61.7,58.1,59.1,60.5,56.1,61.4,62.9,57.4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11:33:40,46.1,71.3,61.3,58.9,62.9,57.0,63.4,56.5,61.7,58.1,59.1,60.5,56.1,61.4,62.9,57.4,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
11:33:44,46.1,71.3,61.3,58.9,62.9,57.0,63.4,56.5,61.7,58.1,59.1,60.5,56.1,61.4,62.9,57.4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11:33:50,46.1,71.3,61.3,58.9,62.9,57.0,63.4,56.5,61.7,58.1,59.1,60.5,56.1,61.4,62.9,57.4,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
