Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
14:34:34,64.4,40.0,68.9,40.0,66.3,40.4,66.6,40.0,70.8,40.4,70.5,39.7,66.6,40.0,66.3,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:34:36,64.7,39.7,69.2,39.7,66.6,40.4,66.6,40.0,70.5,40.0,70.8,39.7,66.9,39.7,66.6,40.8,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:34:36,64.7,39.7,69.2,39.7,66.6,40.4,66.6,40.0,70.5,40.0,70.8,39.7,66.9,39.7,66.6,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:34:52,64.7,39.7,69.2,39.7,66.6,40.4,66.6,40.0,70.5,40.0,70.8,39.7,66.9,39.7,66.6,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:35:11,66.0,40.0,69.2,39.7,66.0,40.4,66.6,40.0,70.5,40.0,70.8,40.0,67.3,39.7,66.6,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:35:24,65.6,40.8,69.5,39.7,66.6,40.2,67.6,40.0,70.5,40.0,71.2,39.7,68.2,39.7,66.3,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:35:49,64.7,41.2,69.5,39.7,67.6,40.0,68.6,40.0,70.8,40.0,71.5,39.7,68.6,39.7,66.9,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:36:06,64.0,41.8,69.9,39.7,67.9,40.0,68.9,40.0,71.8,40.4,72.1,39.7,68.9,39.7,67.6,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:36:11,64.0,41.8,69.9,39.7,67.9,40.0,68.9,40.0,71.8,40.4,72.1,39.7,68.9,39.7,67.6,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:36:26,63.1,42.1,70.8,39.7,68.9,40.4,69.2,40.0,72.1,40.0,72.8,40.0,69.9,40.0,67.9,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:36:53,62.4,42.5,71.2,39.7,68.9,40.4,69.9,40.0,72.5,40.0,72.8,39.7,69.9,40.0,68.6,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:37:08,61.1,43.5,71.8,40.0,69.9,40.4,70.2,40.0,73.1,40.4,72.8,40.0,70.2,40.4,68.9,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:37:28,60.5,43.8,72.1,40.0,69.9,40.4,70.5,40.0,73.4,40.0,73.1,40.0,70.2,40.4,69.5,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
