Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
09:53:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:53:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:53:37,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:53:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:58:07,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
10:02:37,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:02:40,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:02:43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:02:46,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:02:49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:02:52,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
10:02:55,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:03:04,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
10:03:07,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
10:03:16,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
10:03:25,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
10:03:28,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
10:03:31,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
10:03:34,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
