Time on 16 Jun 2021,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
12:10:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:10:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:10:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:10:44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:15:14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:19:44,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
12:19:47,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12:19:50,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12:19:53,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12:19:56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12:19:59,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
12:20:02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12:20:11,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
12:20:14,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
12:20:23,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
12:20:32,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
12:20:35,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
12:20:38,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
12:20:41,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
12:20:50,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
12:20:56,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12:21:02,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
12:21:08,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
12:21:11,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
12:21:32,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
12:21:35,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:21:38,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:21:41,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:21:47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21:53,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12:21:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:14,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:23:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:23:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:24:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:24:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:25:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:25:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:26:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:26:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:27:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:27:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:28:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:28:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:29:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:29:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:30:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:30:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:31:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:31:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:32:23,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:32:53,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:33:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:33:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:34:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:34:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:35:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:35:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:36:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:36:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:37:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:37:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:38:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:38:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:39:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:39:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:40:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:40:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:41:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:41:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:42:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:42:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:43:24,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:43:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:44:24,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:44:54,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:45:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:45:34,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12:45:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:45:46,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:45:47,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:45:57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:46:12,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:46:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:46:32,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:46:33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:46:43,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:46:44,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:47:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:48:04,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:48:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:48:30,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:48:31,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:49:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:49:41,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:49:42,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:49:57,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:49:58,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:50:34,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:50:35,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:50:37,0,0,0,0,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0
12:50:47,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:50:49,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
