Time on 15 Jun 2021,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
16:04:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:05:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:05:41,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:06:21,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:06:26,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:07:06,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:07:11,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:07:51,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:07:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:08:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:08:41,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:08:46,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
16:08:49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16:08:53,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16:08:56,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16:08:59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16:09:02,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16:09:05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16:09:14,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
16:09:17,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
16:09:26,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
16:09:35,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
16:09:36,0,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
16:09:38,0,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
16:09:41,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,1,0,0
16:09:44,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,1,0,0
16:09:53,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
16:09:59,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16:10:05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
16:10:11,1,0,0,0,0,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16:10:14,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16:10:27,0,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16:10:32,1,0,0,0,1,0,0,1,0,0,0,0,0,1,0,1,0,0,0
16:10:35,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,1,0,0,0
16:10:38,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:10:41,1,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:10:44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:10:50,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:10:56,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16:10:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:11:08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:11:17,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:11:24,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:11:29,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:11:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:12:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:12:14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:12:19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:12:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:12:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:13:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:13:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:13:44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:13:49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:14:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:14:29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:14:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:15:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:15:14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:15:19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:15:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:15:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:16:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:16:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:16:44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:16:49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:17:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:17:29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:17:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:18:59,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:44,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:49,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:29,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:34,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:04,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:14,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:19,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
