Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
9:33:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33:04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:33:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:37:34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:42:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
9:46:35,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
9:46:37,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0
9:46:39,1,0,0,0,0,0,0,0,1,0,0,0,0,1,0,1,0,0,0
9:46:43,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9:46:49,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9:46:55,1,0,0,0,1,0,0,0,1,0,0,0,0,1,0,1,0,0,0
9:46:57,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9:47:05,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9:47:13,1,0,0,0,0,1,0,0,0,0,0,0,0,1,0,1,0,0,0
9:47:15,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
9:47:19,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:47:21,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:47:23,1,0,0,0,0,0,0,0,0,0,0,0,1,1,0,1,0,0,0
9:47:25,1,0,0,0,0,0,1,0,0,0,0,0,1,1,0,1,0,0,0
