Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
11:19:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:19:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:19:09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:19:09,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:23:39,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:28:10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
11:32:40,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:42,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
11:32:44,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11:32:48,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:32:54,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:00,1,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0
11:33:02,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:08,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:10,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:12,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11:33:20,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
11:33:28,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:32,1,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0
11:33:36,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11:33:40,1,0,0,0,0,1,1,0,1,0,0,0,1,0,0,0,0,0,0
11:33:44,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,0,0,0
11:34:06,1,0,0,0,0,1,1,0,0,0,0,0,1,0,0,0,1,0,0
11:34:16,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:20,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:24,1,0,0,0,0,1,1,1,1,0,0,0,1,0,0,0,1,0,0
11:34:30,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:32,1,0,0,0,0,1,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:34,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:36,1,0,0,0,0,0,1,1,0,0,0,0,1,0,0,0,1,0,0
11:34:42,1,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,1,0,0
11:34:44,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
11:34:48,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:34:52,1,0,0,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0
11:34:56,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:34:58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:00,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:02,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:35:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:36:02,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:36:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:37:02,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:37:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:38:02,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:38:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:02,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:39:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:40:02,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:40:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:41:02,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:41:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:42:02,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:42:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:43:02,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:43:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:44:02,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:44:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:45:02,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:45:32,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:46:02,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:46:33,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:47:03,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:47:33,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:48:03,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
11:48:33,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
