Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
16:19:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:16,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:23:46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:28:16,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:32:46,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:16,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
16:37:17,1,0,0,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
16:37:22,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:28,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:33,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16:37:34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:37:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:45,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:50,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:51,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:52,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16:37:53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:37:58,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:37:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:38:04,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16:38:05,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:38:10,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:38:15,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16:38:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16:38:39,1,0,0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,0
16:38:40,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
16:38:55,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0
16:38:56,1,0,0,0,0,1,0,1,0,0,0,0,0,0,1,0,0,0,0
16:39:06,1,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16:39:07,1,0,0,0,1,1,0,0,0,0,0,0,0,0,1,0,0,0,0
16:39:12,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:13,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:15,1,0,0,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
16:39:16,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:21,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:26,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
16:39:27,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:37,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:47,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
16:39:52,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:56,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:39:58,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16:40:08,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16:40:13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16:40:43,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
16:40:48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16:43:18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
16:45:48,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:46:08,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16:46:13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:48:13,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:50:13,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
16:50:18,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:53:18,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
16:53:23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:53:54,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
