Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
12:10:47,51.7,70.5,52.8,70.3,51.8,70.7,51.7,70.5,53.5,70.7,53.4,70.5,52.2,70.5,52.2,70.9
12:12:33,51.8,70.5,53.0,70.5,51.8,70.5,51.7,70.5,53.6,70.7,53.4,70.5,52.0,70.9,52.4,70.9
12:13:56,50.7,72.5,53.4,70.7,52.3,70.7,52.9,70.7,53.8,71.1,53.4,70.7,51.9,71.2,52.4,70.9
12:16:11,50.3,73.2,53.4,70.7,52.7,70.7,52.9,70.7,53.9,71.1,53.5,71.1,51.8,71.4,53.5,71.1
12:16:31,50.3,73.2,53.8,70.7,52.7,70.9,53.3,70.5,54.0,71.1,53.6,71.2,51.8,71.4,53.6,71.1
12:16:48,50.2,73.4,53.9,70.9,52.8,70.9,53.4,70.7,54.0,71.1,53.6,71.2,51.8,71.4,53.6,71.1
12:17:03,50.2,73.6,54.0,70.9,52.8,70.7,53.5,70.7,54.0,71.1,53.6,71.4,51.6,71.6,53.7,71.1
12:17:20,50.2,73.6,54.0,70.9,52.9,70.9,53.6,70.7,54.1,71.1,53.6,71.4,51.7,71.6,53.8,71.1
12:17:32,50.2,73.8,54.1,71.1,52.9,70.9,53.8,70.7,54.2,71.1,53.6,71.4,51.7,71.6,54.0,71.1
12:17:47,50.1,73.9,54.2,71.1,53.0,70.9,53.8,70.7,54.2,71.1,53.6,71.4,51.5,71.6,54.0,71.1
12:18:07,49.9,74.1,54.2,71.1,53.1,70.9,53.9,70.7,54.2,71.1,53.6,71.4,51.4,71.6,54.2,71.1
12:18:24,49.9,74.1,54.3,71.2,53.3,70.9,54.0,70.7,54.2,71.2,53.6,71.6,51.5,71.8,54.3,71.1
12:18:49,49.6,74.3,54.3,71.2,53.3,71.1,54.1,70.7,54.3,71.2,53.5,71.6,51.3,71.8,54.5,71.1
12:19:04,49.7,74.3,54.4,71.2,53.4,71.1,54.2,70.7,54.3,71.2,53.5,71.8,51.3,71.8,54.5,71.1
12:19:26,49.5,74.5,54.5,71.4,53.4,71.1,54.3,70.7,54.4,71.2,53.5,71.8,51.2,71.8,54.7,71.1
12:19:38,49.5,74.5,54.5,71.4,53.5,71.1,54.3,70.7,54.5,71.2,53.4,72.0,51.2,72.0,54.7,71.1
12:19:55,49.4,74.7,54.5,71.4,53.6,71.1,54.4,70.7,54.4,71.2,53.4,71.8,51.3,72.0,55.0,71.2
12:20:18,49.3,74.8,54.5,71.6,53.6,71.1,54.6,70.9,54.5,71.4,53.5,71.8,51.2,72.0,55.0,71.2
12:20:38,49.2,74.8,54.6,71.6,53.7,71.1,54.6,70.9,54.6,71.4,53.5,72.0,51.0,72.0,55.0,71.2
12:20:57,49.2,75.0,54.6,71.6,53.8,71.1,54.7,70.9,54.6,71.4,53.5,72.1,51.2,72.1,55.1,71.2
12:21:17,49.1,75.0,54.7,71.6,53.8,71.1,54.7,70.9,54.7,71.2,53.4,72.1,51.7,72.3,55.1,71.2
12:21:40,49.0,75.0,54.6,71.6,54.0,71.1,54.8,70.9,54.9,71.4,53.4,72.1,51.6,72.3,55.2,71.2
12:21:59,49.1,75.2,54.7,71.8,54.0,71.1,55.0,71.1,55.0,71.4,53.3,72.3,51.6,52.2,55.1,71.2
12:22:17,49.0,75.2,54.7,71.6,54.0,71.2,55.0,71.1,55.0,71.6,53.3,72.3,51.6,72.7,55.2,71.4
12:22:36,49.0,75.2,54.7,71.8,54.1,71.1,55.1,71.1,55.0,71.6,53.4,72.3,51.6,72.7,55.2,71.2
12:22:49,48.9,75.2,54.5,71.8,54.1,71.1,55.1,71.1,55.0,71.6,53.4,72.3,51.6,72.7,55.3,71.4
12:23:06,48.8,75.4,54.5,71.8,54.2,71.2,55.2,71.1,55.0,71.6,53.3,72.3,51.6,72.9,55.4,71.4
12:23:33,48.7,75.4,54.4,72.0,54.4,71.2,55.2,71.1,55.0,71.6,53.3,72.5,51.6,72.9,55.4,71.4
12:23:58,48.8,75.6,54.7,72.0,54.4,71.2,55.2,71.1,55.0,71.6,53.3,72.5,51.6,72.9,55.4,71.4
12:24:15,48.9,75.6,54.5,72.1,54.4,71.2,55.3,71.1,55.1,71.8,53.3,72.5,51.6,72.9,55.5,71.4
12:24:35,48.8,75.6,54.6,72.1,54.5,71.4,55.3,71.1,55.1,71.8,53.2,72.5,51.5,73.0,55.5,71.6
12:24:53,48.9,75.6,54.5,72.1,54.6,71.4,55.4,71.1,55.1,71.8,53.2,72.7,51.5,73.0,55.5,71.4
12:25:10,48.9,75.6,54.4,72.3,54.6,71.4,55.4,71.1,55.1,71.8,53.2,72.7,51.4,73.0,55.5,71.6
12:25:32,48.8,75.7,54.5,72.3,54.6,71.4,55.5,71.2,55.2,71.8,53.2,72.7,51.4,73.2,55.5,71.6
12:25:44,48.7,75.7,54.3,72.3,54.7,71.4,55.5,71.2,55.2,72.0,53.1,72.9,51.4,73.2,55.5,71.6
12:26:12,48.4,75.7,54.3,72.3,54.8,71.4,55.6,71.2,55.2,72.0,53.0,72.9,51.3,73.2,55.5,71.6
12:26:42,48.4,75.7,54.4,72.5,54.8,71.4,55.7,71.2,55.3,72.0,53.0,72.9,51.3,73.4,55.5,71.6
12:27:04,48.4,75.7,54.3,72.5,54.9,71.6,55.7,71.2,55.3,72.0,53.0,73.0,51.3,73.4,55.5,71.6
12:27:24,48.4,75.7,54.2,72.5,54.9,71.6,55.7,71.2,55.3,72.0,53.0,73.0,51.2,73.4,55.5,71.6
12:27:41,48.5,75.7,54.2,72.5,54.9,71.6,55.8,71.2,55.3,72.0,53.0,73.0,51.2,73.4,55.5,71.8
12:27:56,48.4,75.7,54.1,72.5,54.9,71.6,55.7,71.4,55.3,72.0,52.9,73.0,51.2,73.4,55.5,71.6
12:28:11,48.6,75.9,54.0,72.5,55.0,71.6,55.8,71.4,55.4,72.0,52.9,73.0,51.2,73.6,55.5,71.8
12:28:30,48.5,75.7,54.1,72.5,55.0,71.6,55.8,71.4,55.4,72.1,53.0,73.0,51.2,73.6,55.5,71.8
12:28:50,48.3,75.9,54.0,72.7,55.0,71.6,55.8,71.4,55.4,72.1,53.0,73.2,51.1,73.6,55.5,71.8
12:29:05,48.3,75.9,54.0,72.7,55.1,71.6,55.8,71.4,55.4,72.1,53.0,73.2,51.0,73.8,55.5,71.8
12:29:22,48.2,75.9,53.9,72.7,55.1,71.8,55.8,71.4,55.5,72.1,53.0,73.2,51.0,73.9,55.5,71.8
12:29:45,48.2,75.9,53.8,72.7,55.1,71.6,55.9,71.4,55.5,72.1,53.0,73.2,51.1,73.9,55.5,71.8
12:30:04,48.3,75.9,53.8,72.9,55.2,71.8,55.9,71.4,55.6,72.3,52.7,73.2,51.0,73.9,55.5,72.0
