Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
13:25:54,50.7,70.0,52.5,69.6,51.4,70.5,51.4,70.5,52.6,70.3,52.9,70.2,51.2,70.2,51.5,70.5
13:26:14,50.7,70.2,52.6,69.8,50.9,70.5,50.8,70.5,52.6,70.3,52.6,70.3,51.0,70.2,51.4,70.5
13:26:39,51.3,70.2,52.6,69.8,51.0,70.5,50.8,70.5,52.5,70.3,52.7,70.3,51.0,70.3,51.4,70.5
13:27:06,51.2,70.5,52.6,69.8,51.0,70.5,51.0,70.5,52.7,70.3,52.6,70.3,51.3,70.3,51.4,70.5
13:27:26,50.8,70.9,52.6,69.8,51.0,70.5,51.1,70.5,52.6,70.3,52.7,70.3,51.3,70.3,51.5,70.7
13:27:38,50.3,71.2,52.5,69.8,51.0,70.5,51.1,70.5,52.6,70.3,52.9,70.3,51.3,70.3,51.5,70.5
13:28:03,50.0,71.6,52.5,69.8,51.1,70.5,51.1,70.5,,,52.9,70.5,51.3,70.3,51.5,70.7
13:28:28,50.0,71.6,52.6,70.0,51.1,70.5,51.2,70.5,52.6,70.5,52.9,70.5,51.3,70.5,51.6,70.7
13:28:45,49.7,72.0,52.6,70.0,51.2,70.5,51.3,70.5,52.7,70.5,52.9,70.5,51.3,70.5,51.7,70.7
13:29:02,49.4,72.5,52.6,70.0,51.2,70.5,51.4,70.5,52.7,70.5,52.9,70.5,51.3,70.7,51.7,70.7
13:29:27,49.2,72.5,52.8,70.2,51.3,70.5,51.6,70.5,52.8,70.5,52.9,70.5,51.3,70.7,,
13:29:50,49.2,72.7,52.8,70.2,51.4,70.5,51.7,70.5,52.9,70.5,52.9,70.7,51.4,70.9,51.9,70.7
13:30:20,49.0,72.9,52.9,70.2,51.4,70.5,51.8,70.7,52.9,70.5,52.9,70.9,51.4,70.9,52.1,70.7
13:30:39,48.7,73.2,53.0,70.3,51.6,70.7,51.8,70.5,52.9,70.7,52.9,70.9,51.4,71.1,52.1,70.7
13:30:54,48.6,73.4,53.2,70.3,51.6,70.7,51.9,70.5,53.0,70.7,52.9,70.9,51.4,71.1,52.3,70.7
13:31:14,48.5,73.4,53.2,70.3,51.7,70.7,52.2,70.7,53.0,70.7,52.9,70.9,51.4,71.1,52.4,70.9
