Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
11:19:08,52.2,70.7,54.4,12.6,52.3,70.9,54.0,70.3,54.9,70.3,53.2,71.1,51.4,71.4,52.2,71.2
11:19:25,51.9,71.4,54.4,70.3,53.7,70.5,54.0,70.3,54.9,70.3,54.5,70.5,53.5,70.5,53.7,70.7
11:19:42,51.9,71.8,54.5,70.3,53.7,70.5,54.0,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7
11:20:12,51.6,72.3,54.5,70.3,53.7,70.5,54.0,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7
11:20:32,51.6,72.3,54.6,70.5,53.8,70.5,54.1,70.5,54.9,70.5,54.5,70.5,53.5,70.7,53.7,70.7
11:20:52,51.4,72.7,54.6,70.5,53.8,70.5,54.1,70.5,54.9,70.5,54.5,70.5,53.5,70.7,53.8,70.7
11:21:09,51.4,72.7,54.6,70.5,53.9,70.5,54.2,70.5,55.0,70.5,54.5,70.5,53.5,70.9,53.9,70.7
11:21:36,51.0,73.2,54.6,70.5,53.9,70.5,54.2,70.5,55.0,70.5,54.5,70.7,53.5,71.1,54.0,70.7
11:21:51,50.9,73.2,54.7,70.7,54.0,70.5,54.2,70.5,55.0,70.7,54.5,70.7,53.5,71.1,54.1,70.7
11:22:13,50.9,73.4,54.7,70.7,54.0,70.5,54.3,70.5,55.0,70.5,54.5,70.7,53.5,71.1,54.2,70.9
11:22:28,50.7,73.9,54.7,70.7,54.1,70.5,54.3,70.5,55.0,70.7,54.6,70.7,53.5,71.1,54.3,70.9
11:22:43,50.6,73.8,54.7,70.7,54.1,70.5,54.4,70.5,55.1,70.7,54.6,70.9,53.5,71.1,54.4,70.9
11:22:58,50.6,73.9,54.8,70.7,54.2,70.7,54.4,70.5,55.1,70.7,54.6,70.9,53.5,71.2,54.4,70.9
11:23:12,50.5,74.3,54.8,70.9,54.2,70.7,54.5,70.5,55.1,70.7,54.7,70.9,53.5,71.2,54.5,70.9
11:23:25,50.4,74.5,54.8,70.9,54.4,70.7,54.5,70.5,55.1,70.7,54.7,71.1,53.6,71.4,54.6,70.9
11:23:49,50.6,74.7,55.0,70.9,54.5,70.9,54.7,70.5,55.2,70.7,54.8,71.1,53.6,71.4,54.8,71.1
11:24:07,50.4,75.0,55.0,71.1,54.5,70.7,54.7,70.5,55.2,70.9,54.9,71.2,53.6,71.4,55.0,71.1
11:24:27,50.4,75.0,55.0,71.1,54.5,70.9,54.8,70.5,55.3,70.9,55.0,71.4,53.7,71.6,55.0,71.1
11:24:54,50.4,75.2,55.2,71.1,54.8,70.9,54.9,70.7,55.4,70.9,55.0,71.4,53.7,71.8,55.2,71.1
11:25:24,50.2,75.6,55.2,71.2,54.8,70.9,55.1,70.7,55.4,70.9,55.0,71.4,53.7,71.8,55.4,71.1
11:25:44,50.2,75.6,55.3,71.2,54.9,70.9,55.3,70.7,55.5,71.1,55.1,71.6,53.7,72.0,55.4,71.1
11:25:58,50.3,75.9,55.4,71.2,55.0,71.1,55.3,70.7,55.6,71.1,55.1,71.6,53.7,72.0,55.5,71.1
11:26:13,50.1,75.9,55.5,71.2,55.1,71.1,55.4,70.7,55.6,71.1,55.2,71.8,53.8,72.0,55.7,71.2
11:26:30,49.8,76.1,55.6,71.4,55.3,71.1,55.4,70.7,55.7,71.2,55.2,71.8,53.8,72.0,55.7,71.2
11:26:50,49.8,76.5,55.6,71.6,55.3,71.1,55.5,70.9,55.7,71.2,55.2,72.0,53.9,72.1,55.8,71.2
11:27:02,49.8,76.6,55.7,71.6,55.4,71.1,55.6,70.9,55.7,71.2,55.3,72.0,53.9,72.3,55.9,71.2
11:27:27,49.8,76.8,55.7,71.6,55.5,71.1,55.8,70.9,55.9,71.2,55.3,72.0,54.0,72.3,56.1,71.2
11:27:50,49.7,76.8,55.8,71.6,55.6,71.1,55.9,71.1,55.9,71.2,55.3,72.1,54.0,72.5,56.2,71.2
11:28:02,49.7,76.8,55.9,71.6,55.7,71.2,55.9,71.1,55.9,71.2,55.4,72.3,54.0,72.5,56.2,71.2
11:28:22,49.7,77.0,56.1,71.8,55.8,71.2,56.0,71.1,55.9,71.2,55.4,72.3,54.1,72.5,56.4,71.4
11:28:34,43.2,77.5,56.0,72.0,56.0,71.4,56.1,71.1,56.0,71.4,55.4,72.3,54.2,72.7,56.5,71.4
