Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
9:53:42,53,70,50.5,71.4,50,71.6,50.2,71.4,50.3,71.8,51.7,71.8,49.1,71.8,51,71.8
9:53:57,53,70,54.5,69.4,53.6,69.8,53.9,69.6,53.5,70,54.8,69.6,54,69.6,53.4,70.2
9:54:17,53,70.2,54.4,69.4,53.6,69.8,53.8,69.6,53.4,70,54.8,69.6,53.9,69.6,53.4,70.2
9:54:34,52.6,70.5,54.4,69.6,53.6,69.8,53.8,69.8,53.4,70,54.8,69.6,53.9,69.6,53.4,70.2
9:55:07,52.1,70.9,54.5,69.6,53.6,69.8,53.9,69.6,53.5,70,54.8,69.6,53.8,69.6,53.3,70.2
9:55:39,52.1,70.9,54.5,69.6,53.7,70,53.9,69.6,53.4,70,54.8,69.6,53.9,69.6,53.4,70.2
9:55:56,51.8,71.2,54.5,69.6,53.6,70,53.9,69.6,53.4,70,54.7,69.6,53.8,69.8,53.4,70.2
9:56:19,51.9,71.4,54.5,69.6,53.6,70,53.9,69.6,53.5,70,54.7,69.6,53.8,69.8,53.5,70.2
9:56:41,51.7,71.6,54.5,69.6,53.6,69.8,54,69.8,53.5,70,54.7,69.8,53.8,70,53.6,70.2
9:57:08,51.5,72,54.7,69.8,53.7,69.8,54,69.6,53.5,70,54.6,69.8,53.7,70,53.8,70.2
9:57:38,51.5,72,54.7,69.8,53.7,69.8,54,69.8,53.6,70,54.6,70,53.7,70,53.8,70.2
9:57:58,51.5,72.3,54.7,69.8,53.8,70,54.1,69.8,53.6,70,54.6,70,53.7,70.2,53.8,70.2
9:58:10,51.5,72.3,54.8,69.8,53.8,70,54.2,69.8,53.6,70,54.6,70,53.7,70.2,53.9,70.2
9:58:30,51.3,72.7,54.9,69.8,53.9,70,54.4,69.8,53.6,70,54.6,70.2,53.6,70.5,54.3,70.2
9:59:46,51.3,72.7,55.4,70,54.1,70,54.7,69.8,53.7,70,54.6,70.2,53.6,70.5,54.5,70.2
10:00:26,51.1,73.2,55.5,70,54.2,70,54.8,69.8,53.8,70.2,54.6,70.5,53.6,70.5,54.7,70.2
10:00:58,50.9,73.6,55.6,70,54.2,70.2,54.9,69.8,53.8,70.2,54.6,70.5,53.6,70.7,54.8,70.3
10:01:20,50.9,73.8,55.8,70.2,54.2,70.2,55,69.8,53.9,70.3,54.5,70.5,53.6,71.1,54.9,70.3
10:01:58,50.7,74.1,55.9,70.2,54.3,70.2,55,70,53.9,70.2,54.6,70.5,53.5,71.1,54.9,70.3
10:02:18,50.4,74.3,56.3,70.3,54.6,70.2,55.2,70,53.9,70.3,54.8,70.9,53.5,71.1,55,70.3
10:03:00,50.5,74.5,56.4,70.3,54.7,70.2,55.3,70,54.1,70.5,54.8,70.9,53.6,71.1,55.3,70.3
10:03:43,50.3,74.7,56.5,70.5,54.7,70.2,55.4,70,54.1,70.3,54.8,70.9,53.6,71.2,55.3,70.3
10:03:58,50.2,74.7,56.7,70.5,54.8,70.2,55.5,70,54.1,70.5,54.8,71.1,53.6,71.4,55.5,70.3
10:04:20,50.2,74.8,56.8,70.7,54.8,70.2,55.5,70,54.5,70.7,54.8,71.1,53.5,71.2,56,70.3
10:04:47,50.3,74.8,56.8,70.7,54.9,70.3,55.6,70.2,54.6,70.7,54.8,71.2,53.4,71.4,55.9,70.5
10:05:17,50.2,75.2,56.9,70.7,55.2,70.3,55.7,70.2,54.6,70.7,54.8,71.2,53.5,71.6,56,70.5
10:05:42,50.2,75.2,57,70.7,55.2,70.3,55.8,70.2,54.5,70.7,54.9,71.4,53.4,71.6,56.1,70.5
10:06:05,50.3,75.4,57.1,70.9,55.3,70.5,55.9,70.2,54.5,70.9,54.9,71.4,53.4,71.8,56.1,70.5
10:06:27,49.9,75.4,57.3,70.9,55.4,70.5,56,70.3,54.5,70.9,55,71.6,53.4,71.8,56.2,70.5
10:06:52,49.9,75.4,57.4,70.9,55.5,70.5,56,70.3,54.5,70.9,55,71.6,53.5,72,56.3,70.7
10:07:27,50,75.6,57.3,70.9,55.6,70.5,56.1,70.3,54.5,70.9,54.9,71.6,-1,12,56.3,70.7
10:08:14,50,75.7,57.3,71.1,55.6,70.5,56.2,70.3,54.6,70.9,55.1,71.8,53.5,72.1,56.3,70.7
10:08:39,49.9,75.7,57.4,71.2,55.7,70.7,56.3,70.3,54.6,70.9,55.1,71.8,53.5,72.1,56.3,70.7
10:08:59,49.6,76.1,57.5,71.2,55.9,70.7,56.5,70.5,54.6,71.1,55.1,72.1,-1,-1,-1,-1
10:11:34,49.4,76.5,57.5,71.4,56.4,70.9,56.9,70.7,54.9,71.4,55.2,72.3,53.5,72.9,-1,-1
10:13:42,49.4,76.8,53,32.4,56.7,71.1,56.9,70.7,55,70.9,55.2,72.7,53.5,73.2,-1,-1
10:15:55,49.3,77,57.2,72.3,57,71.2,57.4,71.1,55.2,71.6,55.3,73.2,53.4,72.9,56.9,71.4
10:18:04,49.1,77.5,57.1,72.5,57.3,71.4,57.7,71.2,55.3,72,55.3,73.2,53.4,73.8,57,71.6
10:19:50,-1,-1,57.1,72.5,57.3,71.4,57.9,71.2,55.4,72.1,55.4,73.6,53.4,73.8,57,71.6
10:21:27,48.4,77.9,57,72.9,57.5,71.6,57.9,71.4,55.4,72.3,55.3,73.6,53.5,73.9,57.2,71.8
10:21:40,48.2,78.1,57.1,72.9,57.6,71.8,58,71.4,55.4,72.1,55.3,73.6,53.4,74.1,57.2,71.8
10:21:57,48.2,78.1,57,73,57.6,71.8,58,71.4,55.4,72.1,55.4,73.6,53.5,74.1,57.2,71.8
10:22:17,48.3,78.3,56.9,73,57.6,71.8,58,71.4,55.5,72.3,55.3,73.6,53.4,74.1,57.2,71.8
