Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
16:04:06,50.5,72.5,53.6,70.9,52.6,71.2,52.7,71.1,52.5,71.2,53.8,71.1,52.5,71.1,52.6,71.4
16:04:17,50.4,72.5,53.5,70.9,52.6,71.2,52.8,71.1,52.5,71.2,53.8,71.1,52.5,71.1,52.7,71.4
16:04:29,50.4,72.7,53.5,70.9,52.6,71.2,52.8,71.1,52.5,71.2,53.8,71.1,52.5,71.1,52.7,71.4
16:04:34,50.3,72.9,53.5,71.1,52.6,71.2,52.8,71.1,52.5,71.2,53.8,71.1,52.5,71.1,52.7,71.4
16:04:46,50.1,73,53.5,71.1,52.6,71.2,52.8,71.1,-1,12.4,53.8,71.1,52.5,71.2,52.7,71.6
16:04:54,50,73,53.5,71.1,52.6,71.2,-1,51.4,-1,12.4,53.8,71.2,52.5,71.1,52.7,71.6
16:05:08,49.9,73.2,53.5,71.1,52.6,71.2,52.8,71.1,-1,12.4,53.8,71.2,52.5,71.2,52.7,71.4
16:05:14,49.9,73.4,53.5,71.1,52.6,71.2,52.8,71.1,52.6,71.2,53.8,71.1,52.5,71.2,52.7,71.6
16:05:33,49.9,73.2,53.5,71.1,52.6,71.2,52.8,71.1,52.6,71.2,53.8,71.2,52.5,71.2,52.8,71.6
16:05:36,49.5,73.4,53.5,71.1,52.6,71.2,52.8,71.1,52.6,71.2,53.7,71.2,52.5,71.2,52.8,71.6
16:05:48,49.4,73.6,53.5,71.1,52.6,71.2,52.8,71.1,52.6,71.2,53.8,71.2,52.5,71.2,52.8,71.6
16:05:51,49.2,73.8,53.5,71.2,52.7,71.4,52.8,71.2,52.6,71.4,-1,51.6,52.5,71.2,52.8,71.6
16:06:05,49.2,73.8,53.5,71.2,52.7,71.4,52.8,71.1,52.6,71.2,53.8,71.2,52.5,71.4,52.8,71.6
16:06:08,49,73.9,53.5,71.1,52.7,71.4,52.8,71.1,52.6,71.4,53.8,71.2,52.5,71.4,52.8,71.6
16:06:28,48.9,74.1,53.5,71.1,52.7,71.2,52.9,71.2,52.6,71.4,53.8,71.4,52.5,71.4,52.8,71.6
16:06:33,48.8,74.1,53.5,71.2,52.7,71.4,52.9,71.2,52.6,71.4,-1,51.6,52.5,71.4,52.9,71.6
16:06:50,48.8,74.3,53.5,71.2,52.7,71.4,52.9,71.2,52.6,71.4,53.8,71.4,52.4,71.6,52.9,71.6
16:06:53,48.7,74.3,53.5,71.2,52.7,71.4,52.9,71.2,52.7,71.4,53.8,71.4,52.4,71.4,53,71.6
16:07:12,48.7,74.3,53.5,71.2,52.7,71.4,52.9,71.2,52.7,71.4,53.8,71.4,52.4,71.6,53,71.6
16:07:20,48.7,74.5,53.5,71.2,52.7,71.4,53,71.2,52.6,71.6,53.8,71.6,52.4,71.6,53,71.6
16:07:24,48.7,74.7,53.6,71.4,52.8,71.4,53,71.2,52.7,71.4,53.8,71.6,52.4,71.6,53,71.6
16:07:39,48.6,74.8,53.6,71.2,52.8,71.4,53,71.2,52.7,71.4,53.8,71.4,52.4,71.6,53.1,71.6
16:07:35,48.6,74.7,53.6,71.4,52.8,71.4,53.1,71.4,52.7,71.6,53.9,71.6,52.4,71.8,53.1,71.6
16:07:59,48.5,74.8,53.6,71.4,52.8,71.4,53,71.4,52.7,71.6,53.9,71.6,52.3,71.8,53.2,71.6
16:08:14,48.4,75,53.6,71.4,52.9,71.4,53.1,71.4,52.7,71.6,53.9,71.6,52.4,71.8,53.2,71.6
16:08:10,48.4,75,53.6,71.4,52.9,71.4,53.1,71.2,52.8,71.6,53.9,71.6,52.3,71.8,53.3,71.8
16:08:29,48.4,75.2,53.6,71.4,52.9,71.4,53.1,71.4,52.8,71.6,54,71.6,52.3,71.8,53.3,71.8
16:08:35,48.3,75.2,53.6,71.4,52.9,71.4,53.2,71.4,52.8,71.6,54,71.8,52.3,71.8,53.3,71.8
16:08:47,48.3,75.2,53.6,71.6,52.9,71.4,53.2,71.4,52.8,71.6,54,71.8,52.3,72,53.3,71.6
16:08:46,48.3,75.2,53.7,71.6,53,71.4,53.2,71.4,52.8,71.6,54,71.8,52.3,72,53.4,71.8
16:09:02,48.3,75.4,53.7,71.4,53,71.6,53.2,71.4,52.8,71.8,54,71.8,52.3,72,53.4,71.8
16:09:11,48.4,75.4,53.7,71.6,53,71.6,53.3,71.4,52.8,71.8,54.1,71.8,52.3,72,53.4,71.8
16:09:17,48.3,75.6,53.7,71.6,53.1,71.6,53.3,71.4,52.8,71.6,54.1,71.8,52.3,72,53.5,71.8
16:09:28,48.2,75.6,-1,12.2,53.1,71.6,53.4,71.4,52.9,71.6,54.1,72,52.3,72,53.7,71.8
16:09:36,48.2,75.6,53.7,71.6,53.1,71.6,53.4,71.6,52.9,71.8,54.1,71.8,52.3,72.1,53.9,71.8
16:09:50,48.2,75.7,53.8,71.6,53.1,71.6,53.4,71.6,52.9,71.6,54.1,72,52.3,72.1,54,72
16:09:59,48.1,75.7,53.8,71.6,53.2,71.6,53.5,71.6,53,71.8,54.1,72,52.3,72.1,54.2,71.8
16:10:13,48.1,75.9,53.8,71.6,53.3,71.6,53.5,71.4,53,71.8,54.1,72,52.3,72.1,54.3,72
16:10:21,48.1,75.9,53.8,71.6,53.3,71.6,53.5,71.6,53,71.8,54.1,72,52.3,72.3,54.5,72
16:10:30,48.1,75.9,53.9,71.8,53.3,71.6,53.6,71.6,53,71.8,54.1,72,52.3,72.3,54.5,72
16:10:43,47.9,75.9,53.9,71.6,53.3,71.8,53.6,71.6,53.1,71.8,54.1,72.1,52.3,72.3,54.5,72
16:10:45,47.8,76.1,53.9,71.8,53.4,71.8,53.7,71.6,53.2,71.8,54.1,72.1,52.3,72.3,54.5,72
16:11:06,47.9,76.3,54,71.8,53.4,71.6,53.8,71.6,53.2,71.8,54.1,72.1,52.3,72.5,54.5,72
16:11:15,47.9,76.3,54,71.8,53.5,71.8,53.8,71.6,53.3,71.8,54.1,72.3,52.3,72.5,54.6,72
16:11:31,47.9,76.3,54,71.8,53.5,71.8,53.8,71.6,53.3,71.8,54.2,72.3,52.3,72.5,-1,52
16:11:39,48,76.3,54.2,72,53.6,71.8,53.9,71.6,53.3,71.8,54.2,72.3,52.3,72.5,54.6,72
16:11:50,47.9,76.3,54.2,72,53.6,71.8,53.9,71.6,53.3,72,54.2,72.3,52.3,72.5,54.7,72
16:12:10,47.8,76.5,54.6,72,53.7,71.8,53.9,71.6,53.3,72,54.2,72.3,52.3,72.5,54.7,72
16:12:07,47.9,76.3,54.3,72,53.7,71.8,53.9,71.6,53.3,72,54.2,72.3,52.3,72.7,54.7,72
16:12:29,47.8,76.5,54.9,72.1,-1,51.8,54,71.6,53.3,72,54.2,72.3,52.3,72.7,54.7,72
16:12:25,47.8,76.5,54.7,72,53.7,71.8,54,71.6,53.4,72,54.2,72.5,52.3,72.7,54.7,72
16:12:41,47.8,76.5,54.9,72.1,53.7,71.8,54.1,71.6,53.4,72,54.2,72.3,52.3,72.7,54.7,72
16:12:52,47.8,76.6,55.3,72.1,53.8,71.8,54.1,71.6,53.4,72.1,54.2,72.5,52.3,72.7,54.7,72
16:13:04,47.7,76.6,55.2,72.1,53.9,72,54.2,71.6,53.4,72.1,54.3,72.5,52.3,72.7,54.7,72
16:13:15,47.7,76.8,55.2,72.1,53.9,72,54.2,71.6,53.4,72.1,54.3,72.5,52.3,72.9,54.8,72.1
16:13:29,47.6,76.6,55.3,72.1,53.9,71.8,54.2,71.8,53.4,72.1,54.2,72.7,52.3,72.9,54.8,72.1
16:13:29,47.6,76.8,55.3,72.1,54,72,54.2,71.8,53.5,72.1,54.2,72.7,52.3,72.9,54.8,72
16:13:46,47.6,76.8,55.3,72.1,54,72,54.3,71.8,53.5,72,54.3,72.7,52.3,72.9,54.8,72.1
16:13:59,47.5,76.8,55.3,72.3,54.1,72,54.3,71.8,53.5,72.1,54.2,72.7,52.3,72.9,54.8,72
16:14:11,47.5,76.8,55.2,72.3,54.1,72,54.3,71.8,53.5,72.1,54.2,72.7,52.3,72.9,54.8,72.1
16:14:22,47.5,76.8,55.3,72.3,54.1,72,54.3,71.8,53.5,72.1,54.2,72.7,52.3,73,54.8,72.1
16:14:25,47.5,77,55.3,72.3,54.1,72,54.4,71.8,53.5,72.1,54.2,72.9,52.3,73,54.9,72.1
16:14:34,47.5,77,55.3,72.3,54.2,72,54.4,71.8,53.6,72.3,54.2,72.9,52.3,73,54.9,72.1
16:14:40,47.5,77,55.3,72.3,54.2,72,54.4,71.8,53.6,72.1,54.3,72.9,52.3,73,54.9,72.1
16:15:03,47.4,77,55.3,72.5,54.2,72,54.4,71.8,53.6,72.1,54.2,72.9,52.3,73,54.9,72.1
16:14:59,47.4,77,55.4,72.5,54.3,72,54.5,72,53.6,72.3,54.2,72.9,52.3,73,54.9,72.1
16:15:15,47.4,77,55.4,72.5,54.3,72,54.5,71.8,53.6,72.3,54.2,72.9,52.3,73,54.9,72.1
16:15:24,47.5,77,55.4,72.5,54.3,72,54.5,71.8,53.6,72.3,54.2,73,52.3,73.2,54.9,72.1
16:15:30,47.5,77,55.4,72.5,54.3,72,54.6,71.8,53.6,72.3,54.2,73,52.3,73.2,55,72.3
16:15:43,47.5,77,55.4,72.5,54.4,72.1,54.6,72,53.6,72.3,54.2,73,52.2,73.2,54.9,72.1
16:15:47,47.5,77,55.4,72.5,54.4,72,54.6,71.8,53.6,72.3,54.2,73,52.2,73.2,55,72.3
16:16:07,47.5,77,55.4,72.5,54.4,72,54.6,71.8,53.6,72.3,54.2,73,52.2,73.2,55,72.3
16:16:01,47.5,77,55.5,72.5,54.4,72.1,54.7,72,53.7,72.3,54.2,73,52.2,73.4,55,72.3
16:16:23,47.4,77,55.3,72.7,54.5,72.1,54.7,72,53.7,72.3,54.2,73,52.2,73.4,55,72.3
16:16:21,47.4,77.2,55.4,72.5,54.5,72.1,54.7,72,53.7,72.3,54.2,73,52.2,73.4,55,72.3
16:16:38,47.4,77,55.3,72.7,54.5,72.1,54.7,72,53.7,72.5,54.2,73.2,52.2,73.4,55,72.3
16:16:41,47.3,77.2,55.3,72.7,54.5,72.1,54.8,72,53.7,72.3,54.1,73.2,52.2,73.4,55,72.3
16:16:50,47.2,77,55.3,72.7,54.6,72.1,54.8,72,53.7,72.5,54.2,73.2,52.1,73.4,55,72.3
16:17:01,47.2,77.2,55.3,72.7,54.6,72.1,54.8,72,53.7,72.5,54.1,73.2,52.2,73.6,55,72.3
16:17:07,47.2,77,55.3,72.7,54.6,72.1,54.8,72,53.7,72.5,54.1,73.2,52.1,73.6,55.1,72.3
16:17:23,47.3,77.2,55.4,72.7,54.6,72.1,54.9,72,53.7,72.5,54.1,73.2,52.1,73.6,55.1,72.3
16:17:32,47.2,77.2,55.2,72.7,54.6,72.1,54.9,72,53.7,72.5,54.1,73.2,52.1,73.6,55.1,72.3
16:17:41,47.2,77.2,55.2,72.9,54.7,72.3,54.9,72,53.7,72.5,54.1,73.2,52.1,73.6,55.1,72.3
16:17:47,47.2,77.2,55.2,72.9,54.7,72.1,54.9,72,53.7,72.5,54.1,73.2,52.1,73.6,55.1,72.3
16:18:05,47.1,77.2,55.2,72.7,54.7,72.3,54.9,72,53.7,72.5,54.1,73.4,52,73.6,55.1,72.3
16:18:09,47.3,77.2,55.1,72.9,54.7,72.3,55,72,53.7,72.5,54.1,73.2,52,73.6,55.1,72.3
16:18:18,47.3,77.2,55.1,72.9,54.7,72.3,55,72.1,53.7,72.5,54.1,73.4,52,73.8,55.1,72.3
16:18:27,47.5,77.2,55.1,72.9,54.7,72.3,55,72.1,53.7,72.5,54.1,73.2,52,73.8,55.1,72.3
16:18:32,47.5,77.2,55.1,72.9,54.8,72.3,55,72.1,53.7,72.5,54,73.4,52,73.8,55.2,72.5
16:18:46,47.5,77.2,55.1,72.9,54.7,72.3,55.1,72.1,53.7,72.5,54,73.4,52,73.8,55.1,72.3
16:18:52,47.5,77.2,55,72.9,54.8,72.3,55.1,72,53.7,72.5,54,73.4,51.9,73.8,55.2,72.5
16:18:59,47.4,77.2,55.1,73,54.8,72.3,55.1,72.1,53.8,72.5,53.9,73.4,51.9,73.8,55.1,72.5
16:19:04,47.3,77.2,55.1,72.9,54.8,72.3,55.1,72.1,53.8,72.7,53.9,73.6,51.9,73.8,55.2,72.5
16:19:23,47.3,77.2,55,73,54.8,72.3,55.2,72.1,53.8,72.7,53.9,73.6,51.9,73.8,55.2,72.3
16:19:29,47.3,77.2,55,73,54.8,72.3,55.2,72.1,53.8,72.5,53.9,73.6,51.8,73.8,55.2,72.5
16:19:43,47.3,77.2,55,73,54.9,72.3,55.2,72.1,53.8,72.7,53.9,73.6,51.8,73.9,55.2,72.5
16:19:49,47.4,77.2,54.9,73,54.9,72.3,55.2,72.1,53.8,72.7,53.8,73.6,51.8,73.8,55.2,72.5
16:20:03,47.4,77.2,54.7,73,54.9,72.5,55.2,72.1,53.8,72.7,53.8,73.6,51.8,73.8,55.2,72.5
16:20:04,47.4,77.2,54.9,73,54.9,72.5,55.2,72.1,53.8,72.7,53.7,73.6,51.7,73.9,55.2,72.5
16:20:20,47.4,77.4,54.8,73,54.9,72.5,55.3,72.1,53.8,72.7,53.7,73.6,51.7,73.9,55.2,72.5
16:20:26,47.4,77.2,54.8,73,55,72.3,55.3,72.1,53.8,72.7,53.7,73.6,51.7,73.9,55.2,72.5
16:20:35,47.4,77.2,54.8,73,54.9,72.3,55.3,72.1,53.8,72.7,53.7,73.6,51.6,73.9,55.2,72.5
16:20:49,47.3,77.2,54.8,73,55,72.3,55.3,72.1,53.8,72.7,53.6,73.8,51.6,73.9,55.2,72.5
16:20:52,47.3,77.2,54.8,73.2,55,72.5,55.3,72.3,53.8,72.7,53.7,73.6,51.6,73.9,55.2,72.5
16:21:06,47.3,77.2,54.8,73,55,72.5,55.3,72.1,53.9,72.7,53.6,73.8,51.6,73.9,55.2,72.5
16:21:07,47.4,77.2,54.7,73.2,55,72.5,55.3,72.1,53.8,72.7,53.6,73.8,51.5,73.9,55.2,72.5
16:21:22,47.3,77.2,54.7,73,55,72.5,55.3,72.1,53.8,72.7,53.5,73.8,51.5,73.9,55.2,72.5
16:21:18,47.4,77.2,54.7,73.2,55,72.5,55.3,72.1,53.8,72.7,53.6,73.6,51.5,74.1,55.2,72.7
16:21:40,47.4,77.2,54.6,73.2,55,72.5,55.4,72.3,53.8,72.9,53.4,73.8,51.5,73.9,55.2,72.5
16:21:37,47.4,77.2,54.6,73.2,55,72.5,55.4,72.3,53.8,72.7,53.4,73.8,51.5,74.1,55.2,72.7
16:21:55,47.4,77.2,54.6,73.2,55,72.5,55.4,72.3,53.9,72.7,-1,11.1,51.4,74.1,55.3,72.5
16:21:59,47.4,77.2,54.6,73.2,55,72.5,55.4,72.1,53.8,72.7,53.3,73.8,51.4,74.1,55.3,72.5
16:22:17,47.3,77.2,54.6,73.2,55.1,72.5,55.4,72.3,53.8,72.9,53.3,73.9,51.3,74.1,55.3,72.5
16:22:21,47.4,77.2,54.5,73.2,55.1,72.5,55.5,72.3,53.8,72.9,53.2,73.8,51.4,74.1,55.3,72.7
16:22:42,47.4,77.2,54.5,73.4,55.1,72.5,55.5,72.3,53.9,72.9,53.2,73.8,51.3,74.1,55.3,72.7
16:22:44,47.4,77.2,54.5,73.4,55.1,72.7,55.5,72.3,53.9,72.9,53.2,73.8,51.3,74.1,55.3,72.7
16:23:00,47.5,77.2,54.5,73.4,55.1,72.5,55.5,72.3,53.9,72.9,53.2,73.9,51.3,74.1,55.3,72.7
16:23:01,47.5,77.2,54.3,73.4,55.1,72.7,55.6,72.3,53.8,72.9,53.2,73.9,51.2,74.3,55.3,72.7
16:23:17,47.4,77.2,54.3,73.4,55.1,72.5,55.5,72.3,53.9,72.9,53.2,73.9,51.2,74.3,55.3,72.7
16:23:28,47.5,77.2,54.2,73.4,55.2,72.7,55.6,72.3,53.9,72.9,53.1,73.9,51.2,74.3,55.3,72.7
16:23:42,47.5,77.2,54.3,73.4,55.1,72.5,55.6,72.3,53.9,72.9,53.1,73.9,51.2,74.3,55.3,72.7
16:23:58,47.4,77.2,54.3,73.4,55.2,72.5,55.6,72.3,53.9,72.9,52.9,73.9,51.2,74.3,55.3,72.7
16:24:02,47.4,77,-1,52.7,55.2,72.7,-1,52.2,53.9,72.9,52.9,73.9,51.1,74.3,55.3,72.9
16:24:20,47.4,77.2,54.2,73.4,55.2,72.5,55.6,72.3,53.9,73,52.9,73.9,51.1,74.3,55.4,72.7
16:24:31,47.4,77,53.9,73.4,-1,52.3,55.7,72.3,53.8,72.9,53,73.9,51.1,74.3,55.3,72.7
16:24:35,47.4,77,53.9,73.4,55.2,72.7,55.7,72.3,53.9,73,53.2,73.9,51,74.3,55.3,72.7
16:24:54,47.4,77,53.9,73.4,55.2,72.7,55.7,72.3,53.8,73,53.2,73.9,50.9,74.3,55.3,72.7
16:24:58,47.4,77,53.9,73.4,55.2,72.7,55.7,72.5,53.8,73,52.9,73.9,50.9,74.3,55.2,72.7
16:25:11,47.5,77,53.8,73.4,55.2,72.7,55.7,72.5,53.8,73,52.9,74.1,50.8,74.3,55.3,72.7
16:25:25,47.4,77,53.8,73.6,55.2,72.7,55.7,72.3,53.8,73,52.8,74.1,50.8,74.5,55.3,72.7
16:25:31,47.4,77.2,53.8,73.6,-1,52.3,55.7,72.3,53.8,73,52.8,74.1,50.8,74.5,55.3,72.9
16:25:44,47.3,77,53.8,73.6,55.3,72.7,55.7,72.5,53.8,73,52.8,74.1,50.7,74.5,55.3,72.7
16:25:45,47.3,77,53.8,73.6,55.2,72.7,55.7,72.3,53.8,73,52.7,74.1,50.7,74.5,55.3,72.9
16:26:07,47.3,77,53.8,73.4,55.2,72.7,55.7,72.5,53.8,73,52.7,74.1,50.7,74.5,55.3,72.9
16:26:15,47.4,77,53.7,73.6,55.3,72.7,55.7,72.5,53.8,73,52.6,74.1,50.7,74.5,55.2,72.9
16:26:21,47.3,77,53.6,73.4,55.3,72.7,55.7,72.5,53.8,73,52.6,74.1,50.7,74.5,55.3,72.9
16:26:27,47.2,77,53.7,73.6,55.3,72.7,55.7,72.5,53.8,73,52.6,74.1,50.6,74.5,55.3,72.9
16:26:36,47.1,77,53.7,73.6,55.3,72.7,55.7,72.5,53.8,73,52.6,74.1,50.7,74.5,55.3,72.9
16:26:45,47.1,77,53.7,73.6,55.3,72.7,55.7,72.5,53.8,73,52.6,74.1,50.6,74.5,55.2,72.9
16:26:53,47.3,77,53.7,73.6,55.3,72.7,55.7,72.5,53.8,73,52.5,74.1,50.6,74.5,55.3,72.9
16:27:02,47.4,77,53.6,73.6,55.3,72.7,55.7,72.5,53.8,73,-1,10.9,50.6,74.5,55.3,72.9
16:27:27,47.5,77,53.6,73.6,55.2,72.7,55.7,72.5,-1,52.5,52.5,74.1,50.5,74.7,55.3,72.9
16:27:16,47.5,77,53.6,73.6,55.2,72.7,55.8,72.5,53.8,73,52.4,74.1,50.4,74.7,55.3,72.9
16:27:44,47.5,77,53.6,73.6,55.2,72.7,55.7,72.5,53.9,73,52.5,74.1,50.5,74.7,55.3,72.9
16:27:46,47.5,77,53.7,73.6,55.3,72.7,55.8,72.5,53.8,73,52.5,74.1,50.4,74.7,55.3,72.9
16:27:56,47.5,77,53.6,73.6,55.3,72.9,55.8,72.5,53.8,73,52.5,74.1,50.5,74.7,55.3,72.9
16:28:05,47.5,77,53.5,73.6,55.3,72.7,55.8,72.5,53.8,73.2,52.5,74.1,50.5,74.7,55.3,72.9
16:28:13,47.6,77,53.4,73.6,55.2,72.9,55.7,72.5,53.8,73.2,52.4,74.1,50.4,74.7,55.3,72.9
