Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
11:19:08,52.2,70.7,-1,12.6,52.3,70.9,54,70.3,54.9,70.3,53.2,71.1,51.4,71.4,52.2,71.2
11:19:25,51.9,71.4,-1,51.1,53.7,70.5,54,70.3,54.9,70.3,54.5,70.5,53.5,70.5,53.7,70.7
11:19:42,51.9,71.8,54.4,70.3,53.7,70.5,54,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7
11:20:12,51.6,72.3,54.4,70.3,53.7,70.5,54,70.3,54.9,70.3,54.5,70.3,53.5,70.7,53.7,70.7
11:20:32,51.6,72.3,54.5,70.3,53.8,70.5,54.1,70.5,54.9,70.5,54.5,70.5,53.5,70.7,53.7,70.7
11:20:52,51.4,72.7,54.5,70.5,53.8,70.5,54.1,70.5,54.9,70.5,54.5,70.5,53.5,70.7,53.8,70.7
11:21:09,51.4,72.7,54.6,70.5,53.9,70.5,54.2,70.5,55,70.5,54.5,70.5,53.5,70.9,53.9,70.7
11:21:36,-1,52.3,54.6,70.5,53.9,70.5,54.2,70.5,55,70.5,54.5,70.7,-1,12.6,54,70.7
11:21:51,51,73.2,54.6,70.5,54,70.5,54.2,70.5,55,70.7,54.5,70.7,53.5,71.1,-1,51.3
11:22:13,50.9,73.2,54.6,70.7,54,70.5,54.3,70.5,55,70.5,54.5,70.7,53.5,71.1,54.1,70.7
11:22:28,50.9,73.4,54.7,70.7,54.1,70.5,54.3,70.5,55,70.7,54.6,70.7,53.5,71.1,54.2,70.9
11:22:43,50.7,73.9,54.7,70.7,54.1,70.5,54.4,70.5,55.1,70.7,54.6,70.9,53.5,71.1,54.3,70.9
11:22:58,50.6,73.8,54.7,70.7,54.2,70.7,54.4,70.5,55.1,70.7,54.6,70.9,53.5,71.1,54.4,70.9
11:23:12,50.6,73.9,54.7,70.7,54.2,70.7,54.5,70.5,55.1,70.7,54.7,70.9,53.5,71.2,54.4,70.9
11:23:25,50.5,74.3,54.8,70.9,54.4,70.7,54.5,70.5,55.1,70.7,54.7,71.1,53.5,71.2,54.5,70.9
11:23:49,50.4,74.5,54.8,70.9,54.5,70.9,54.7,70.5,55.2,70.7,54.8,71.1,53.6,71.4,54.6,70.9
11:24:07,50.6,74.7,54.8,70.9,54.5,70.7,54.7,70.5,55.2,70.9,54.9,71.2,53.6,71.4,54.8,71.1
11:24:27,50.4,75,55,71.1,54.5,70.9,54.8,70.5,55.3,70.9,55,71.4,53.6,71.4,55,71.1
11:24:54,50.4,75,55,71.1,54.8,70.9,54.9,70.7,55.4,70.9,55,71.4,53.7,71.6,55,71.1
11:25:24,50.4,75.2,55,71.1,54.8,70.9,55.1,70.7,55.4,70.9,55,71.4,53.7,71.8,55.2,71.1
11:25:44,50.2,75.6,55.2,71.2,54.9,70.9,55.3,70.7,55.5,71.1,55.1,71.6,53.7,71.8,55.4,71.1
11:25:58,50.2,75.6,55.2,71.2,55,71.1,55.3,70.7,55.6,71.1,55.1,71.6,53.7,72,55.4,71.1
11:26:13,50.3,75.9,55.3,71.2,55.1,71.1,55.4,70.7,55.6,71.1,55.2,71.8,53.7,72,55.5,71.1
11:26:30,50.1,75.9,55.4,71.2,55.3,71.1,55.4,70.7,55.7,71.2,55.2,71.8,53.8,72,55.7,71.2
11:26:50,49.8,76.1,55.5,71.4,55.3,71.1,55.5,70.9,55.7,71.2,55.2,72,53.8,72,55.7,71.2
11:27:02,49.8,76.5,55.6,71.6,55.4,71.1,55.6,70.9,55.7,71.2,55.3,72,-1,52,55.8,71.2
11:27:27,49.8,76.6,55.6,71.6,55.5,71.1,55.8,70.9,55.9,71.2,55.3,72,53.9,72.1,55.9,71.2
11:27:50,49.8,76.8,55.7,71.6,55.6,71.1,55.9,71.1,55.9,71.2,55.3,72.1,53.9,72.3,56.1,71.2
11:28:02,49.7,76.8,55.7,71.6,55.7,71.2,55.9,71.1,55.9,71.2,55.4,72.3,54,72.3,56.2,71.2
11:28:22,49.7,76.8,55.8,71.6,55.8,71.2,56,71.1,55.9,71.2,55.4,72.3,54,72.5,56.2,71.2
11:28:34,49.7,77,55.9,71.8,-1,51.6,56.1,71.1,56,71.4,55.4,72.3,54,72.5,56.4,71.4
11:29:01,43.2,43,56.1,72,56,71.4,56.5,71.2,56,71.4,55.5,72.3,54.1,72.5,56.5,71.4
11:29:39,49.3,77.5,56,72,56.2,71.2,56.4,71.2,56.2,71.6,55.5,72.5,54.2,72.7,56.7,71.4
11:29:54,49.1,77.7,56.1,72.1,56.3,71.4,56.5,71.2,56.2,71.6,55.5,72.7,54.2,72.9,56.7,71.4
11:30:24,49.1,77.7,56.2,72.3,56.4,71.4,56.6,71.2,56.3,71.6,55.6,72.7,54.2,72.9,56.8,71.6
11:30:41,49.1,77.9,56.3,72.3,56.6,71.4,56.7,71.2,56.4,71.8,55.6,72.9,54.3,72.9,-1,51.8
11:31:03,49.1,77.9,56.3,72.3,56.7,71.6,56.9,71.2,56.4,71.8,55.6,72.9,54.3,73,57,71.6
11:31:23,49,78.1,56.4,72.3,56.8,71.6,56.9,71.4,56.5,72,55.6,73,54.3,73,57,71.6
11:31:38,49.3,78.1,56.4,72.3,57,71.6,57,71.4,56.6,72,55.6,73,54.3,73.2,57.2,71.8
11:32:08,49.2,78.1,56.4,72.5,57.1,71.6,57.1,71.4,56.6,72,55.6,73.2,54.4,73.4,57.3,72
11:32:38,49.1,78.3,56.5,72.7,57.1,71.8,57.2,71.4,56.6,72,55.6,73.2,54.4,73.4,57.3,71.8
11:33:00,49,78.3,56.5,72.7,57.3,71.8,57.5,71.6,56.8,72.1,55.6,73.4,54.4,73.4,57.4,72
11:33:27,49.2,78.3,56.5,72.7,57.4,71.8,57.6,71.6,56.8,72,55.6,73.4,54.6,73.6,57.4,72
11:33:50,49.2,78.3,56.7,72.7,57.5,71.8,57.7,71.6,56.9,72.3,55.6,73.4,54.1,73.8,57.5,72
11:34:12,48.9,78.3,56.5,72.9,57.6,72,57.8,71.6,56.9,72.3,55.6,73.4,52.5,73.8,57.6,72
11:34:29,49,78.4,56.6,72.9,57.8,72,58,71.6,57,72.3,55.5,73.6,52.5,73.8,57.7,72
11:34:46,49,78.3,56.6,72.9,58,72,58.1,71.6,57.1,72.3,55.5,73.6,52.9,73.8,57.7,72.1
11:35:06,48.9,78.4,56.7,72.9,58.1,72,58.2,71.8,57.1,72.5,55.3,73.8,53,73.8,57.7,72.1
11:35:26,48.8,78.4,56.7,73,58.2,72,58.3,71.8,57.2,72.5,55.3,73.6,53.6,73.8,57.7,72.1
11:35:41,48.9,78.4,56.9,73,58.3,72,58.3,71.8,57.3,72.5,55.4,73.8,53.6,73.8,57.7,72.1
11:35:56,49,78.4,57,73.2,58.3,72,58.3,71.8,57.4,72.5,55.4,73.8,53.7,73.9,57.7,72.1
11:36:13,49,78.4,56.9,73.2,58.3,72,58.3,72,57.4,72.5,55.3,73.8,54.9,74.1,57.7,72.1
11:36:33,47.9,78.3,56.8,73.2,58.4,72.1,58.9,72,57.8,72.7,55.7,73.9,54.9,73.9,58,72.1
11:36:47,47.9,78.3,57.6,73.2,58.3,72.1,58.6,72,58.4,72.5,55.8,73.9,54.6,74.1,57.8,72.3
11:37:12,48.2,78.3,57.4,73.4,58.2,72.1,58.2,72,58.1,72.7,55.7,73.9,54.6,74.1,57.8,72.3
11:37:35,48.4,78.3,57,73.4,58.2,72.3,58.2,72.1,58,72.7,55.6,74.1,54.6,74.3,57.7,72.3
11:37:49,48.4,78.3,56.9,73.4,58.1,72.3,57.9,72.1,57.9,72.7,55.6,73.9,54.4,74.3,57.6,72.3
11:38:14,48.6,78.1,56.8,73.4,58,72.3,57.8,72.1,57.8,72.9,55.6,74.1,54.4,74.3,57.6,72.5
11:38:26,47.9,78.1,56.8,73.6,57.8,72.3,57.7,72.1,58.3,72.9,55.3,74.1,54.2,74.3,57.6,72.5
11:39:01,47.9,78.1,56.8,73.6,57.8,72.3,57.7,72.1,58.1,72.9,55.2,74.1,54.2,74.5,57.4,72.5
11:39:14,48,77.9,56.4,73.6,57.6,72.3,57.5,72.3,57.8,72.9,55.3,74.1,54.1,74.5,57.3,72.5
11:39:33,48.2,77.9,56.3,73.6,57.5,72.5,57.4,72.3,57.7,72.9,55.3,74.3,54.2,74.5,57.3,72.5
11:39:46,48.5,77.9,56.3,73.8,57.4,72.5,57.3,72.3,57.6,72.9,55.3,74.1,54.1,74.5,57.2,72.5
11:40:03,48.5,77.9,56.2,73.8,57.4,72.5,57.2,72.3,57.6,72.9,55.2,74.1,54,74.5,57.2,72.5
11:40:20,48.1,77.9,56.2,73.8,57.3,72.5,57.2,72.3,57.6,73,54.7,74.5,53.8,74.5,57.2,72.5
11:40:45,48,77.9,56.1,73.8,57.2,72.5,57.1,72.3,57.5,73,54.7,74.3,53.7,74.5,57,72.5
11:41:00,48.1,77.7,55.7,73.9,57,72.5,56.9,72.5,57.3,73,54.9,74.5,53.7,74.7,56.8,72.7
11:41:25,48.2,77.9,55.7,73.8,56.9,72.5,56.9,72.5,57.3,73,55,74.5,53.7,74.7,56.8,72.7
11:41:37,48.1,77.7,55.6,73.9,56.9,72.5,56.7,72.5,57.3,73,55,74.5,53.6,74.7,56.8,72.7
11:41:54,48.1,77.7,55.5,73.9,56.8,72.5,56.7,72.5,57.3,73,55,74.5,53.6,74.7,56.7,72.7
11:42:06,48.3,77.5,55.5,73.9,56.8,72.5,56.7,72.5,57.2,73,54.5,74.5,53.5,74.7,56.8,72.7
11:42:24,48.3,77.7,55.4,73.9,56.7,72.5,56.7,72.3,57.2,73,54.4,74.5,53.2,74.7,56.8,72.9
11:42:36,47.9,77.5,55.3,73.9,56.7,72.7,56.5,72.5,57.4,73.2,54.2,74.5,53.1,74.7,56.7,72.9
11:42:51,47.9,77.5,55.3,73.9,56.6,72.7,56.4,72.5,57.1,73,54.4,74.5,53.1,74.7,56.5,72.9
11:43:05,48,77.5,55.1,74.1,56.4,72.7,56.4,72.5,57.1,73.2,54.7,74.5,53.2,74.7,56.4,72.9
11:43:38,48.1,77.5,55.1,74.1,56.4,72.7,56.4,72.5,57.1,73.2,54.7,74.7,53.2,74.7,56.3,72.9
11:44:13,48.2,77.5,55,74.1,56.3,72.7,56.3,72.5,57.1,73.2,54,74.7,52.8,74.8,56.2,72.9
11:44:35,48.1,77.5,55,74.1,56.3,72.7,56.2,72.5,57.1,73.2,54,74.7,52.7,74.8,56.1,73
11:44:50,47.9,77.4,54.8,74.1,56.2,72.7,56,72.7,56.7,73.2,54,74.7,52.7,74.8,56.1,72.9
11:45:12,48,77.4,54.8,74.1,56,72.7,56,72.5,56.7,73.4,54.3,74.7,52.8,74.8,56,72.9
11:45:25,48.2,77.4,54.7,74.1,56,72.9,55.8,72.5,56.6,73.4,54.4,74.8,52.9,74.8,56,73
11:45:42,48.3,77.4,54.7,74.1,56,72.7,55.9,72.7,56.7,73.4,54.4,74.8,52.7,74.8,55.9,72.9
11:45:59,48.3,77.4,54.6,74.3,56,72.9,55.8,72.7,56.7,73.4,54.2,74.7,52.7,74.8,55.9,73
11:46:14,48.3,77.4,54.6,74.3,56,72.7,55.8,72.7,56.7,73.4,54.1,74.7,52.5,74.8,55.9,73
11:46:29,48.1,77.4,54.5,74.3,55.9,72.9,55.9,72.7,56.7,73.4,53.8,74.7,52.3,74.8,55.9,73
11:46:41,47.8,77.2,54.5,74.3,55.9,72.9,55.6,72.7,56.4,73.4,53.6,74.8,52.4,74.8,55.8,73
