Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
12:52:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:52:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:52:57,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:52:57,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:27,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:57,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:57:27,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:57:32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:58:27,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:58:32,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:59:12,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:59:17,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:59:27,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:59:32,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:59:57,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:00:22,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13:00:27,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:01:53,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
13:01:58,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:02:28,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:02:58,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13:03:23,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13:04:13,1,1,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13:05:03,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
13:05:08,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:05:33,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
13:05:38,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:05:43,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:05:48,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:05:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:06:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:06:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:07:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:07:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:08:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:08:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:09:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:09:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:10:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:10:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:11:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:11:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:12:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:12:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:13:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:13:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:14:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:14:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:15:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:15:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:16:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:16:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:17:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:17:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:18:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:18:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:19:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:19:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:20:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:20:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:21:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:21:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:22:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:22:53,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:23:23,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:23:54,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:24:24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:24:54,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:25:24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:25:54,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:24,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:54,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
13:26:54,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
