Time on 17 Jun 2021,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
14:34:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:34:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:34:36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:34:36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:36:06,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:37:36,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:39:06,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:40:36,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14:40:41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:41:21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:42:01,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:42:06,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14:42:16,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
14:42:21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:43:01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:43:41,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14:43:46,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:44:16,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14:44:21,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:44:41,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:45:01,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14:45:06,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:45:26,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14:45:31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:46:51,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
14:46:56,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:47:01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:47:06,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14:47:11,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14:47:31,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:47:36,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:47:46,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14:47:51,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
14:47:56,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:48:01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:48:11,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
14:48:16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:48:46,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
14:48:51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:48:56,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:49:01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:49:06,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:49:36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:50:06,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:50:36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:51:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:51:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:52:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:52:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:53:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:53:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:54:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:54:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:55:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:55:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:56:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:56:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:57:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:57:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:58:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:58:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:59:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
14:59:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:00:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:00:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:01:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:01:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:02:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:02:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:03:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:03:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:04:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:04:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:05:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:05:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:06:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:06:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:07:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:07:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:08:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:08:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:09:07,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:09:37,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:10:08,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:10:08,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:10:38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:11:08,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:11:38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:12:08,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:12:38,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:13:08,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
15:13:10,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:13:20,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
15:13:22,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15:13:24,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
15:13:26,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
