Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
11:26:06,49.8,74.7,54.8,69.6,53.6,73.8,53.3,73.4,55.4,69.8,52.2,74.5,54.3,69.4,54.0,73.8
11:26:30,53.9,69.4,54.8,69.6,54.2,69.8,54.6,69.6,55.4,69.6,55.2,69.4,54.3,69.4,54.1,70.0
11:26:50,53.9,69.4,54.8,69.8,54.2,69.8,54.4,69.6,55.3,69.6,55.2,69.4,54.4,69.4,54.0,70.0
11:27:10,53.9,69.4,54.8,69.6,54.2,69.8,54.4,69.6,55.4,69.8,55.2,69.3,54.5,69.4,,
11:27:22,53.9,69.6,54.9,69.6,54.2,69.8,54.4,69.6,55.5,69.6,55.3,69.4,54.5,69.4,54.1,70.0
11:27:47,53.8,69.6,54.9,69.6,54.2,69.8,54.4,69.6,55.6,69.6,55.3,69.4,54.6,69.4,54.2,70.0
11:28:12,53.7,69.6,54.9,69.6,54.4,69.8,54.5,69.6,55.6,69.8,55.4,69.4,54.6,69.4,54.2,70.0
11:28:32,53.7,69.6,55.0,69.6,54.4,69.8,54.5,69.6,55.6,69.8,55.3,69.4,54.6,69.4,54.2,70.0
11:29:04,53.7,69.6,54.9,69.6,54.4,69.8,54.5,69.6,55.6,69.8,55.4,69.4,54.6,69.6,54.2,70.0
11:29:21,53.7,69.6,55.0,69.6,,,54.5,69.6,,,55.4,69.4,54.5,69.6,54.2,70.0
11:29:36,53.7,69.6,55.0,69.6,54.5,69.6,54.5,69.6,55.6,69.6,55.4,69.6,54.6,69.6,54.3,70.0
11:29:59,53.6,69.6,55.0,69.6,54.5,69.6,54.4,69.6,55.6,69.8,55.4,69.4,54.6,69.6,54.3,70.0
11:30:16,53.7,69.6,55.2,69.6,54.5,69.6,54.5,69.6,55.6,69.8,55.4,69.4,,,54.3,70.0
11:30:36,53.7,69.6,55.2,69.6,54.5,69.8,54.6,69.6,55.6,69.6,55.4,69.6,54.6,69.6,54.3,70.0
11:30:53,53.6,69.8,55.2,69.6,54.5,69.8,54.6,69.6,55.6,69.6,55.4,69.4,54.6,69.4,,
11:31:10,53.6,69.8,55.2,69.6,54.6,69.8,54.6,69.6,55.6,69.6,55.4,69.6,54.7,69.6,54.3,70.0
11:31:25,53.3,70.2,55.2,69.6,,,54.6,69.6,55.7,69.8,55.4,69.6,54.7,69.6,54.4,70.0
11:31:42,53.2,70.2,55.2,69.6,54.6,69.6,54.6,69.6,55.8,69.6,55.4,69.6,54.7,69.6,54.4,70.0
11:31:59,52.9,70.5,55.2,69.6,54.6,69.8,54.6,69.6,55.9,69.6,55.4,69.4,54.7,69.6,54.5,70.0
11:32:24,52.8,70.7,55.2,69.6,54.6,69.8,54.7,69.6,55.9,69.8,55.3,69.6,54.7,69.6,54.5,70.0
11:32:47,52.5,70.9,55.2,,54.6,69.8,54.7,69.6,55.9,69.6,55.3,69.6,54.7,69.6,54.5,70.0
11:33:01,52.2,71.4,52.0,69.8,54.7,69.8,54.8,69.6,56.1,69.8,55.3,69.6,54.7,69.8,54.6,70.0
11:33:26,52.2,71.6,55.3,69.6,54.7,69.8,54.9,69.6,56.1,69.8,55.3,69.6,54.7,69.8,54.7,70.0
11:33:46,52.2,71.6,55.3,69.8,54.7,69.8,55.0,69.8,,,55.3,69.6,54.8,70.0,54.7,70.0
11:34:06,52.0,71.6,55.3,69.8,54.8,69.8,55.1,69.6,56.2,69.8,55.3,69.8,54.8,70.0,54.9,70.0
11:34:33,52.0,72.0,,,54.8,69.8,55.1,69.6,56.2,69.8,55.3,69.8,54.8,70.0,54.9,70.0
11:34:46,51.9,72.1,55.4,69.8,54.9,69.8,,,56.3,70.0,55.2,70.0,54.8,70.2,55.0,70.2
11:35:20,51.8,72.7,55.5,69.8,54.9,69.8,55.5,69.8,56.3,69.8,55.2,70.0,54.8,70.2,55.2,70.2
11:35:40,51.6,72.9,55.8,70.0,55.1,69.8,55.5,69.8,56.5,69.8,55.2,70.2,54.8,70.3,55.4,70.2
11:36:03,51.6,72.9,55.9,70.0,55.2,69.8,55.6,69.8,56.5,70.0,55.2,70.2,54.9,70.3,55.5,70.2
11:36:25,51.6,73.0,55.9,70.0,55.3,70.0,55.8,69.8,56.6,70.0,55.2,70.2,54.9,70.3,55.5,70.2
11:36:42,51.4,73.4,56.0,70.0,55.4,70.0,55.8,69.8,56.7,70.2,55.2,70.3,54.9,70.3,55.6,70.2
11:37:05,51.4,73.4,56.1,70.2,55.4,70.0,55.9,69.8,56.7,70.2,55.2,70.3,54.9,70.5,55.8,70.2
11:37:24,51.4,73.6,56.2,70.0,55.5,70.0,56.0,69.8,56.7,70.2,55.1,70.5,54.9,70.7,55.9,70.2
11:37:44,51.2,73.8,56.3,70.2,55.6,70.0,56.1,69.8,56.7,70.2,55.1,70.5,54.9,70.7,55.9,70.2
11:37:56,51.3,73.8,56.4,70.3,55.8,70.0,56.2,69.8,56.8,70.2,55.0,70.5,54.9,70.7,56.0,70.2
11:38:11,51.2,73.9,56.5,70.3,55.8,70.0,56.3,69.8,56.8,70.2,55.0,70.5,54.9,70.7,56.1,70.2
11:38:26,51.1,74.1,56.6,70.3,55.8,70.2,56.4,69.8,56.8,70.2,55.0,70.5,54.9,70.9,56.2,70.3
11:38:46,51.1,74.1,56.8,70.3,56.0,70.2,56.6,70.0,57.0,70.2,55.0,70.7,54.9,70.9,56.4,70.2
11:39:13,51.0,74.3,56.8,70.3,56.0,70.0,56.6,70.0,57.0,70.3,55.0,70.9,55.0,70.9,56.4,70.3
11:39:30,51.0,74.5,56.9,70.3,56.3,70.2,56.7,70.0,57.0,70.3,55.0,70.9,54.9,71.1,56.5,70.3
11:39:53,51.0,74.5,57.2,70.7,56.4,70.2,57.0,70.0,57.1,70.3,54.9,70.9,54.9,71.1,56.5,70.3
11:40:18,50.9,74.7,57.2,67.1,56.6,70.2,57.1,70.2,57.1,70.3,54.9,70.9,55.0,71.1,56.6,70.3
11:40:42,50.7,74.8,57.3,70.7,56.6,70.2,57.1,70.2,57.2,70.3,54.9,71.1,54.9,71.2,56.7,70.3
11:41:02,50.6,75.0,57.5,70.7,56.6,70.2,57.4,70.2,57.4,70.5,54.8,71.2,54.9,71.4,57.0,70.3
11:41:47,50.6,75.2,57.5,70.7,56.8,70.3,57.4,70.2,57.4,70.5,54.8,71.2,54.9,71.4,57.1,70.3
11:42:10,50.5,75.2,57.8,70.9,57.0,70.3,57.5,70.2,57.5,70.7,54.9,71.4,54.9,71.6,57.0,70.3
11:42:37,50.5,75.2,57.8,70.9,57.2,70.3,57.8,70.2,57.5,70.5,54.9,71.4,54.9,71.6,57.1,70.3
11:42:57,50.5,75.2,57.9,71.1,57.3,70.5,57.8,70.3,57.5,70.7,54.8,71.4,54.8,71.6,57.2,70.5
11:43:27,50.5,75.6,57.8,71.1,57.4,70.5,57.9,70.3,57.7,70.7,54.6,71.4,54.8,71.8,57.4,70.5
11:43:44,50.5,75.6,57.9,71.1,57.5,70.5,58.0,70.3,57.7,70.7,54.5,71.6,54.8,71.8,57.4,70.5
11:44:01,50.5,75.6,57.9,71.1,57.6,70.5,58.1,70.3,57.7,70.7,54.5,71.6,54.8,72.0,57.5,70.7
11:44:24,50.5,75.6,58.0,71.1,57.6,70.5,58.3,70.3,,,54.4,71.8,54.7,72.0,57.6,70.7
11:44:56,50.4,75.7,58.0,71.2,57.6,70.5,58.4,70.3,57.8,70.7,,,54.6,72.0,57.6,70.7
11:45:16,50.4,75.7,58.1,71.2,57.9,70.7,58.5,70.5,58.0,71.1,54.3,71.8,54.6,72.1,57.7,70.7
11:46:01,50.4,75.7,58.1,71.2,57.9,70.7,58.7,70.5,58.0,71.1,54.3,71.8,54.6,72.1,57.8,70.7
