Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
17:59:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:05,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:07,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:37,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:39,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
17:59:59,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:01,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:11,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:00:13,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:23,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:00:34,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18:00:36,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:01:16,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
18:01:18,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:01:30,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:01:42,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:01:52,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:12,0,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:32,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
18:02:34,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:44,0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
18:02:46,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:48,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:50,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:02:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:03:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:03:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:04:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:04:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:05:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:05:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:06:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:06:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:07:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:07:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:08:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:08:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:09:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:09:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:10:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:10:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:11:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:11:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:12:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:12:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:13:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:13:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:14:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:14:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:15:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:16:22,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
18:16:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
