Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
19:17:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:17:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:17:20,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:17:20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:18:50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:20:20,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:21:50,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:23:20,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19:23:25,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:24:05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:24:45,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:24:50,1,1,1,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19:25:00,1,1,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19:25:05,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:25:45,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:26:25,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:26:30,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:27:01,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19:27:06,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:27:26,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:27:46,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19:27:51,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:28:11,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19:28:16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:29:36,1,1,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19:29:41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:29:46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:29:51,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19:29:56,1,1,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:16,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:21,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:31,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:36,1,1,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:41,1,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:30:56,1,1,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19:31:01,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:31:31,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
19:31:36,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:31:41,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:31:46,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:31:51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:32:21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:32:51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:33:21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:33:51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:34:21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:34:51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:35:21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:35:51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:36:21,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:36:51,1,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
