Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
11:26:06,49.8,74.7,54.8,69.6,53.6,73.8,53.3,73.4,55.4,69.8,52.2,74.5,54.3,69.4,54,73.8
11:26:30,53.9,69.4,54.8,69.6,54.2,69.8,54.6,69.6,55.4,69.6,55.2,69.4,54.3,69.4,54.1,70
11:26:50,53.9,69.4,54.8,69.8,54.2,69.8,54.4,69.6,55.3,69.6,55.2,69.4,54.4,69.4,54,70
11:27:10,53.9,69.4,54.8,69.6,54.2,69.8,54.4,69.6,55.4,69.8,55.2,69.3,54.5,69.4,-1,50.9
11:27:22,53.9,69.6,54.9,69.6,54.2,69.8,54.4,69.6,55.5,69.6,55.3,69.4,54.5,69.4,54.1,70
11:27:47,53.8,69.6,54.9,69.6,54.2,69.8,54.4,69.6,55.6,69.6,55.3,69.4,54.6,69.4,54.2,70
11:28:12,53.7,69.6,54.9,69.6,54.4,69.8,54.5,69.6,55.6,69.8,55.4,69.4,54.6,69.4,54.2,70
11:28:32,53.7,69.6,55,69.6,54.4,69.8,54.5,69.6,55.6,69.8,55.3,69.4,54.6,69.4,54.2,70
11:29:04,53.7,69.6,54.9,69.6,54.4,69.8,54.5,69.6,55.6,69.8,55.4,69.4,54.6,69.6,54.2,70
11:29:21,53.7,69.6,55,69.6,-1,13.1,54.5,69.6,-1,50.9,55.4,69.4,54.5,69.6,54.2,70
11:29:36,53.7,69.6,55,69.6,54.5,69.6,54.5,69.6,55.6,69.6,55.4,69.6,54.6,69.6,54.3,70
11:29:59,53.6,69.6,55,69.6,54.5,69.6,54.4,69.6,55.6,69.8,55.4,69.4,54.6,69.6,54.3,70
11:30:16,53.7,69.6,55.2,69.6,54.5,69.6,54.5,69.6,55.6,69.8,55.4,69.4,-1,50.7,54.3,70
11:30:36,53.7,69.6,55.2,69.6,54.5,69.8,54.6,69.6,55.6,69.6,55.4,69.6,54.6,69.6,54.3,70
11:30:53,53.6,69.8,55.2,69.6,54.5,69.8,54.6,69.6,55.6,69.6,55.4,69.4,54.6,69.4,-1,50.9
11:31:10,53.6,69.8,55.2,69.6,54.6,69.8,54.6,69.6,55.6,69.6,55.4,69.6,54.7,69.6,54.3,70
11:31:25,53.3,70.2,55.2,69.6,-1,50.7,54.6,69.6,55.7,69.8,55.4,69.6,54.7,69.6,54.4,70
11:31:42,53.2,70.2,55.2,69.6,54.6,69.6,54.6,69.6,55.8,69.6,55.4,69.6,54.7,69.6,54.4,70
11:31:59,52.9,70.5,55.2,69.6,54.6,69.8,54.6,69.6,55.9,69.6,55.4,69.4,54.7,69.6,54.5,70
11:32:24,52.8,70.7,55.2,69.6,54.6,69.8,54.7,69.6,55.9,69.8,55.3,69.6,54.7,69.6,54.5,70
11:32:47,52.5,70.9,55.2,58.1,54.6,69.8,54.7,69.6,55.9,69.6,55.3,69.6,54.7,69.6,54.5,70
11:33:01,52.2,71.4,52,69.8,54.7,69.8,54.8,69.6,56.1,69.8,55.3,69.6,54.7,69.8,54.6,70
11:33:26,52.2,71.6,55.3,69.6,54.7,69.8,54.9,69.6,56.1,69.8,55.3,69.6,54.7,69.8,54.7,70
11:33:46,52.2,71.6,55.3,69.8,54.7,69.8,55,69.8,-1,50.9,55.3,69.6,54.8,70,54.7,70
11:34:06,52,71.6,55.3,69.8,54.8,69.8,55.1,69.6,56.2,69.8,55.3,69.8,54.8,70,54.9,70
11:34:33,52,72,-1,13.1,54.8,69.8,55.1,69.6,56.2,69.8,55.3,69.8,54.8,70,54.9,70
11:34:46,51.9,72.1,55.4,69.8,54.9,69.8,-1,13.1,56.3,70,55.2,70,54.8,70.2,55,70.2
11:35:20,51.8,72.7,55.5,69.8,54.9,69.8,55.5,69.8,56.3,69.8,55.2,70,54.8,70.2,55.2,70.2
11:35:40,51.6,72.9,55.8,70,55.1,69.8,55.5,69.8,56.5,69.8,55.2,70.2,54.8,70.3,55.4,70.2
11:36:03,51.6,72.9,55.9,70,55.2,69.8,55.6,69.8,56.5,70,55.2,70.2,54.9,70.3,55.5,70.2
11:36:25,51.6,73,55.9,70,55.3,70,55.8,69.8,56.6,70,55.2,70.2,54.9,70.3,55.5,70.2
11:36:42,51.4,73.4,56,70,55.4,70,55.8,69.8,56.7,70.2,55.2,70.3,54.9,70.3,55.6,70.2
11:37:05,51.4,73.4,56.1,70.2,55.4,70,55.9,69.8,56.7,70.2,55.2,70.3,54.9,70.5,55.8,70.2
11:37:24,51.4,73.6,56.2,70,55.5,70,56,69.8,56.7,70.2,55.1,70.5,54.9,70.7,55.9,70.2
11:37:44,51.2,73.8,56.3,70.2,55.6,70,56.1,69.8,56.7,70.2,55.1,70.5,54.9,70.7,55.9,70.2
