Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
10:05:58,56.0,69.8,57.2,69.4,56.2,50.9,56.2,50.9,57.3,69.6,56.4,69.6,56.5,69.4,55.8,70.0
10:06:13,55.9,70.2,57.3,69.4,56.2,69.8,56.2,69.8,57.3,69.6,56.5,69.6,56.7,69.4,56.0,70.0
10:06:38,55.7,70.3,57.4,69.4,56.3,69.8,56.3,69.8,57.3,69.6,56.5,69.6,56.8,69.4,56.0,70.0
10:06:52,55.6,70.5,57.5,69.4,56.3,69.8,56.3,69.8,57.4,69.6,56.6,69.6,56.8,69.4,55.9,70.0
10:07:10,55.6,70.7,57.5,69.4,56.3,69.8,56.4,69.8,57.4,69.6,56.6,69.6,56.8,69.4,56.1,70.2
10:07:39,55.2,70.9,57.5,69.6,56.4,69.8,56.4,69.8,57.4,69.8,56.6,69.6,56.8,69.6,56.1,70.2
10:08:02,55.1,71.1,57.5,69.6,56.5,69.8,56.4,69.8,57.4,69.8,56.6,69.6,56.7,69.8,56.1,70.0
10:08:37,55.1,71.2,57.5,69.6,56.5,69.8,56.5,69.8,57.4,69.8,56.6,69.6,56.6,69.8,56.4,70.2
10:09:09,54.9,71.4,57.5,69.8,56.5,70.0,56.6,69.8,57.5,69.8,56.6,69.8,56.6,69.8,56.4,70.2
10:09:29,54.5,71.8,57.5,69.8,56.6,70.0,56.7,69.8,57.5,69.8,56.6,69.8,56.6,70.0,56.5,70.2
10:09:46,54.6,72.0,57.6,69.8,56.7,70.0,56.7,69.8,57.5,69.8,56.6,70.0,56.6,70.0,56.6,70.2
10:10:04,54.7,72.1,57.7,70.0,56.7,70.0,56.8,69.8,57.5,69.8,56.7,70.0,56.6,70.2,56.6,70.2
10:10:21,54.6,72.5,57.7,70.0,56.9,70.0,56.9,69.8,57.6,70.0,56.7,70.0,56.6,70.2,56.7,70.2
10:10:51,54.5,72.7,57.7,70.0,56.9,70.0,57.2,69.8,57.7,70.0,56.9,70.2,56.6,70.2,56.8,70.2
10:11:21,54.5,72.9,57.9,70.2,56.9,70.0,57.3,70.0,57.7,70.2,56.9,70.2,56.7,70.3,56.9,70.2
10:11:46,53.9,73.4,58.0,70.2,57.2,70.2,57.3,70.0,57.8,70.2,56.9,70.3,56.7,70.3,57.2,70.2
10:12:15,53.9,73.4,58.1,70.2,57.2,70.2,57.4,70.0,57.8,70.2,56.9,70.3,56.7,70.5,57.2,70.3
10:12:30,54.3,73.6,58.2,70.3,57.3,70.2,57.5,70.0,57.8,70.2,56.9,70.5,56.7,70.5,57.2,70.3
10:12:55,54.0,73.8,58.3,70.3,57.3,70.2,57.6,70.0,57.9,70.3,56.9,70.5,56.8,70.7,57.2,70.3
10:13:15,53.7,74.1,58.3,70.5,57.4,70.2,57.7,70.0,57.9,70.3,56.9,70.5,56.8,70.9,57.5,70.3
10:13:35,53.8,74.1,58.4,70.5,57.5,70.2,57.8,70.0,57.9,70.3,57.0,70.7,56.7,70.9,57.6,70.3
10:13:49,53.6,74.3,58.5,70.7,57.6,70.2,58.0,70.2,57.9,70.3,57.1,70.7,56.7,71.1,57.6,70.3
10:14:09,53.6,74.5,58.6,70.7,57.6,70.3,58.0,70.2,58.0,70.3,57.3,70.9,56.8,71.1,57.7,70.3
