Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
19:09:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:09:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:09:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:09:18,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:09:18,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19:09:23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:09:53,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:10:23,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:10:28,1,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19:10:38,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0
19:10:43,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:11:23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:12:03,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:12:08,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:12:39,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19:12:44,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:13:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:13:24,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19:13:29,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:13:49,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19:13:54,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:14:54,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
19:14:59,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:15:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:15:09,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
19:15:14,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:15:34,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:15:39,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:15:49,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:15:54,1,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
19:15:59,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:16:04,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
19:16:14,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
