Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
17:53:57,52,70.5,53.3,70.5,52.7,70.9,52.8,70.5,54,70.7,54.2,70.3,52.9,70.3,52.7,71.1
17:54:12,52.1,70.5,53.7,70.3,52.7,70.5,52.8,70.5,54.1,70.5,54.2,70.3,53,70.3,52.8,70.9
17:54:24,52.1,70.7,53.6,70.3,52.7,70.7,52.8,70.5,54,70.5,54.2,70.3,53,70.2,52.8,70.9
17:54:41,52,70.7,53.6,70.3,52.8,70.7,52.8,70.5,54.1,70.7,54.2,70.3,53,70.3,52.9,70.9
17:55:11,51.9,70.9,53.6,70.3,52.7,70.7,52.7,70.5,54.1,70.7,54.2,70.3,53.1,70.3,52.9,71.1
17:55:33,51.5,71.4,53.9,70.3,52.7,70.5,52.8,70.5,54.3,70.7,54.2,70.3,53.1,70.3,53,71.1
17:56:01,51.5,71.4,54,70.3,52.9,70.7,53,70.5,54.3,70.7,54.1,70.5,53.2,70.3,53,71.1
17:56:18,51.4,71.6,54.3,70.5,52.9,70.7,53.1,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1
17:56:45,51.3,71.8,54.4,70.5,53.1,70.7,53.4,70.5,54.4,70.7,54.1,70.5,53.2,70.5,53.2,71.1
17:57:05,51,72.3,54.4,70.5,53.1,70.7,53.6,70.5,54.5,70.7,54.1,70.5,53.2,70.5,53.3,71.1
17:57:35,51,72.3,54.7,70.5,53.2,70.9,53.6,70.5,54.6,70.9,54.1,70.7,53.2,70.7,53.3,70.9
17:58:05,51,72.5,54.9,70.7,53.3,70.7,53.9,70.5,54.6,70.9,54.1,70.7,53.2,70.9,53.4,71.1
17:58:22,50.8,72.9,55.1,70.7,53.3,70.9,54.1,70.5,54.7,70.9,54.1,70.7,53.3,70.9,53.4,71.1
17:58:50,50.9,73,55.5,70.9,53.4,70.9,54.1,70.5,54.7,70.9,54.2,70.9,53.3,71.1,53.7,71.1
17:59:15,50.9,73,55.5,70.9,53.7,70.9,54.3,70.5,54.8,71.1,54.3,71.1,53.3,71.1,53.7,71.1
17:59:44,50.8,73.2,55.6,70.9,53.7,70.9,54.6,70.5,54.9,71.1,54.2,71.2,53.4,71.2,53.8,71.1
18:00:07,50.8,73.4,55.8,70.9,53.8,70.9,54.7,70.7,54.9,71.1,54.2,71.2,53.4,71.2,53.9,71.1
18:00:37,50.7,73.6,56,70.9,53.9,70.9,54.7,70.7,54.9,71.1,54.2,71.2,53.4,71.2,54.2,71.1
18:00:57,50.7,73.8,56.1,71.1,54.2,71.1,54.9,70.7,55.1,71.1,54.2,71.4,53.4,71.4,54.2,71.1
18:01:14,50.6,73.9,56.1,71.1,54.2,71.1,55,70.7,55,71.1,54.2,71.4,53.4,71.4,54.3,71.1
18:01:29,50.6,73.9,56.2,71.1,54.2,70.9,55.2,70.7,55.1,71.1,-1,51.6,53.4,71.6,54.3,71.1
18:01:53,50.6,74.1,56.3,71.2,54.3,71.1,55.2,70.7,55.1,71.1,54.3,71.6,53.4,71.6,54.5,71.1
18:02:11,50.4,74.3,56.4,71.2,54.4,71.1,55.4,70.9,55.1,71.2,-1,12.2,53.4,71.6,54.6,71.2
18:02:28,50.4,74.3,56.3,71.2,54.5,71.1,55.3,70.7,55.2,71.2,54.3,71.8,53.4,71.8,54.7,71.2
18:02:48,50.5,74.5,56.2,71.6,54.5,71.1,55.6,70.9,55.2,71.2,54.3,71.6,53.4,71.8,54.8,71.2
18:03:18,50.5,74.5,56.2,71.4,54.7,71.1,55.6,70.7,55.3,71.2,54.3,72,53.5,72,55,71.2
18:03:53,50.5,74.7,56.1,71.6,54.7,71.1,55.7,70.9,55.4,71.2,54.2,72.1,53.5,72,-1,51.6
18:04:15,50.5,74.8,56.1,71.6,54.8,71.1,55.8,70.9,55.4,71.4,54.2,72,53.5,72,55.1,71.2
18:04:27,50.3,75,56.1,71.6,55,71.2,55.9,70.9,55.4,71.4,54.2,72.1,53.5,72.1,55.1,71.2
18:04:52,50.3,75.2,56,71.6,55,71.1,56,70.9,55.5,71.4,54.2,72.1,53.5,72.1,55.2,71.2
18:05:09,50.3,75.2,56.2,71.6,55.1,71.2,56.1,70.9,55.6,71.6,54.2,72.3,53.5,72.3,55.2,71.2
18:05:29,50.2,75.2,56.1,71.6,55.2,71.2,56.2,71.1,55.6,71.6,54.2,72.3,53.4,72.3,55.3,71.4
18:05:41,50.2,75.2,56.1,71.8,55.3,71.2,56.3,71.1,55.7,71.6,54.2,72.3,53.5,72.5,55.3,71.4
18:06:19,50.2,75.2,56.1,71.8,55.3,71.2,56.3,71.1,55.7,71.6,54.2,72.3,53.5,72.3,55.5,71.4
18:06:31,50.1,75.2,56.1,71.8,55.4,71.4,56.5,71.1,55.7,71.6,54.2,72.5,53.5,72.5,55.5,71.4
