Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
12:04:28,51.1,71.2,53.5,70.7,52.3,71.1,52.4,70.7,53.7,71.1,53.5,70.7,52.0,70.7,52.1,71.2
12:04:45,51.1,71.2,53.4,70.5,52.2,71.1,52.4,70.7,53.8,70.9,53.6,70.7,52.1,70.7,52.2,71.2
12:05:02,51.0,71.4,53.4,70.7,52.2,71.1,52.4,70.7,53.8,71.1,53.6,70.7,52.1,70.7,52.2,71.2
12:05:22,50.9,71.6,53.4,70.7,52.2,71.1,52.5,70.7,53.9,71.1,53.6,70.9,52.1,70.7,52.5,71.2
12:06:02,50.8,71.8,53.4,70.7,52.2,71.1,52.5,70.7,53.9,71.1,53.6,70.9,52.4,70.9,52.5,71.2
12:06:22,50.4,72.3,53.5,70.7,52.3,71.1,,,,,53.6,70.9,52.4,71.1,52.6,71.2
12:06:37,50.3,72.5,53.6,70.7,52.4,71.1,52.9,70.7,54.0,71.1,53.7,70.9,52.5,71.1,52.6,71.2
12:06:54,50.3,72.5,53.6,70.7,52.5,71.1,53.0,70.7,54.1,71.1,53.7,71.1,52.6,71.1,52.7,71.2
12:07:19,50.1,72.7,53.6,70.7,52.6,71.1,53.2,70.7,54.2,71.2,53.7,71.1,52.7,71.1,52.8,71.2
12:07:41,50.1,73.0,53.7,70.9,52.9,71.1,53.4,70.7,54.2,71.2,53.9,71.2,52.7,71.1,52.9,71.2
12:08:09,50.2,73.0,,,53.0,71.1,53.6,70.7,54.3,71.1,53.9,71.2,52.7,71.2,53.2,71.2
12:08:31,50.1,73.2,53.8,70.9,53.0,71.1,53.7,70.7,54.4,71.2,53.9,71.2,52.8,71.2,53.2,71.2
12:08:51,49.9,73.4,53.9,70.9,53.2,71.1,54.0,70.9,54.4,71.2,54.0,71.4,52.9,71.4,53.3,71.4
12:09:18,49.9,73.6,54.0,71.1,53.4,71.1,54.2,70.9,54.5,71.2,54.0,71.4,52.9,71.4,53.5,71.4
12:09:36,49.8,73.9,54.1,71.1,53.4,71.2,54.4,70.9,54.7,71.2,54.1,71.4,52.9,71.6,53.8,71.4
12:10:10,49.6,74.1,54.4,71.2,53.8,71.2,54.4,70.9,,,54.2,71.6,53.0,71.6,,
12:10:40,49.6,74.3,54.5,71.2,53.8,71.2,,,,,54.2,71.6,53.0,71.8,54.0,71.4
12:10:55,49.6,74.5,55.2,71.4,53.8,71.2,54.8,70.9,54.9,71.4,54.2,71.6,53.0,71.8,54.0,71.4
12:11:17,49.4,74.7,55.2,71.4,53.9,71.2,55.2,71.1,55.0,71.4,54.3,71.8,53.1,72.0,54.0,71.4
12:11:45,49.4,74.7,55.6,71.6,54.1,71.2,55.1,71.1,55.1,71.4,54.3,71.8,53.1,72.0,54.1,71.4
12:12:00,49.4,74.8,55.6,71.6,54.2,71.2,55.3,71.1,55.1,71.6,54.3,71.8,53.1,72.0,54.1,71.4
12:12:22,49.3,74.8,55.6,71.6,54.3,71.4,55.3,71.1,55.2,71.6,54.4,72.0,53.1,72.1,54.1,71.4
12:12:42,49.3,75.0,55.7,71.6,54.3,71.2,55.4,71.1,55.2,71.6,54.4,72.0,53.1,72.1,54.3,71.6
12:13:02,49.1,75.2,55.7,71.8,54.3,71.4,55.6,71.1,55.2,71.6,54.5,72.1,53.1,72.1,54.3,71.6
12:13:24,49.1,75.2,55.8,72.0,54.4,71.4,55.8,71.1,55.3,71.6,54.5,72.1,53.2,72.1,54.4,71.6
12:13:51,49.1,75.4,55.8,72.0,54.7,71.4,56.0,71.2,55.3,71.6,54.5,72.1,53.3,72.5,54.4,71.6
12:14:34,49.0,75.4,55.8,72.0,54.7,71.4,56.0,71.2,55.3,71.8,54.4,72.3,53.2,72.5,54.5,71.6
12:14:46,49.0,75.6,55.7,72.1,54.8,71.4,56.2,71.2,55.3,71.8,54.4,72.3,53.2,72.5,54.6,71.6
12:15:11,49.0,75.6,55.7,72.1,54.8,71.4,56.2,71.2,55.4,71.8,54.5,72.3,53.2,72.7,54.7,71.6
12:15:26,49.0,75.7,55.6,72.3,55.0,71.6,56.2,71.2,55.5,72.0,54.5,72.5,53.2,72.7,54.8,71.8
12:15:48,48.9,75.7,55.6,72.3,55.0,71.6,56.3,71.2,55.5,72.0,54.6,72.5,53.2,72.7,54.8,71.6
12:16:03,48.9,75.9,55.5,72.5,55.1,71.6,56.4,71.2,55.5,72.0,54.6,72.5,53.2,72.9,54.9,71.8
12:16:33,48.9,75.9,55.5,72.5,55.2,71.6,56.5,71.4,55.5,72.0,54.6,72.5,53.2,72.9,55.0,71.8
12:16:52,48.9,75.9,55.4,72.5,55.3,71.6,56.6,71.4,55.6,72.0,54.6,72.7,53.2,72.9,55.0,71.8
12:17:07,48.8,75.9,55.3,72.5,55.3,71.6,56.8,71.4,55.7,72.0,54.7,72.7,53.2,72.9,55.0,71.8
12:17:30,48.8,76.1,55.3,72.5,55.4,71.6,56.8,71.4,55.7,72.0,54.7,72.7,53.2,72.9,55.1,71.8
12:17:47,48.9,76.1,55.3,72.5,55.5,71.8,56.8,71.4,55.8,72.1,54.7,72.9,53.2,73.0,55.2,72.0
12:18:07,48.9,76.1,55.3,72.5,55.5,71.8,56.9,71.4,55.8,72.1,54.7,72.9,53.2,73.0,55.2,72.0
12:18:21,48.8,76.1,55.2,72.7,55.5,71.8,57.0,71.4,55.8,72.1,54.7,72.9,53.2,73.0,55.2,72.0
12:18:34,48.8,76.1,55.2,72.7,55.6,71.8,57.0,71.4,55.9,72.1,54.7,73.0,53.2,73.2,55.3,72.0
12:18:51,48.8,76.1,55.1,72.7,55.6,71.8,57.1,71.4,55.9,72.1,54.7,73.0,53.2,73.2,55.3,72.0
12:19:13,48.8,76.3,55.0,72.9,55.8,71.8,57.3,71.6,56.0,72.1,54.7,73.0,53.2,73.2,55.3,72.0
12:19:46,48.8,76.3,55.0,72.7,55.8,72.0,57.3,71.6,55.9,72.3,54.7,73.0,53.2,73.4,55.4,72.0
12:20:03,48.7,76.3,55.0,72.9,55.8,71.8,57.3,71.6,56.0,72.3,54.6,73.2,53.2,73.4,55.5,72.0
12:20:15,48.7,76.3,55.0,72.9,55.9,72.0,57.4,71.6,55.9,72.3,54.7,73.2,53.1,73.4,55.5,72.0
12:20:30,48.7,76.3,54.9,72.9,55.9,71.8,57.4,71.6,56.0,72.3,54.6,73.2,53.1,73.4,55.5,72.0
12:20:52,48.7,76.3,54.9,73.0,56.0,72.0,57.5,71.6,56.0,72.3,54.6,73.2,53.2,73.4,55.6,72.0
12:21:07,48.6,76.5,54.9,73.0,56.0,72.0,57.5,71.6,56.0,72.3,54.6,73.2,53.2,73.6,55.6,72.0
12:21:19,48.6,76.5,54.9,73.0,56.1,72.0,57.6,71.6,56.1,72.5,54.6,73.2,53.1,73.6,55.6,72.0
12:21:31,48.7,76.5,54.8,73.0,56.1,72.0,57.6,71.6,56.1,72.5,54.6,73.2,53.1,73.6,55.6,72.0
12:21:54,48.7,76.5,54.7,73.2,56.1,72.0,57.6,71.6,56.1,72.5,54.6,73.4,53.1,73.6,55.7,72.1
12:22:16,48.6,76.5,54.7,73.2,56.3,72.0,57.6,71.6,56.1,72.5,54.6,73.2,53.1,73.8,55.7,72.1
12:22:33,48.6,76.5,54.6,73.2,56.3,72.0,57.7,71.8,56.2,72.5,54.6,73.4,53.1,73.8,55.7,72.1
12:22:53,48.7,76.5,54.6,73.2,56.2,72.0,57.8,71.6,56.2,72.7,54.6,73.4,53.1,73.8,55.7,72.1
12:23:15,48.7,76.5,54.6,73.4,56.3,72.0,57.7,71.8,56.2,72.7,54.5,73.4,53.0,73.8,55.8,72.1
12:23:38,48.8,76.5,54.6,73.4,56.4,72.1,57.8,71.8,56.2,72.7,54.5,73.6,53.0,73.8,55.8,72.1
12:23:53,48.8,76.5,54.5,73.4,56.4,72.1,57.8,71.8,56.2,72.7,54.5,73.6,53.0,73.8,55.8,72.1
12:24:05,48.7,76.5,54.5,73.4,56.5,72.1,57.8,71.8,56.2,72.7,54.5,73.6,53.0,73.8,55.9,72.1
12:24:27,48.7,76.5,54.5,73.4,56.5,72.1,57.8,71.8,56.2,72.7,54.5,73.6,52.9,73.9,55.8,72.1
12:24:49,48.7,76.5,54.5,73.4,56.5,72.1,57.9,71.8,56.3,72.7,54.5,73.6,53.0,73.9,55.9,72.3
12:25:09,48.7,76.5,54.4,73.4,56.6,72.1,57.9,71.8,56.3,72.7,54.5,73.6,53.0,73.9,55.9,72.1
12:25:29,48.7,76.6,54.3,73.6,56.6,72.1,57.9,71.8,56.3,72.7,54.5,73.6,52.9,73.9,55.9,72.1
12:25:54,48.6,76.6,54.3,73.6,56.6,72.1,57.9,72.0,56.3,72.9,54.5,73.6,53.0,73.9,55.8,72.3
12:26:06,48.6,76.5,54.3,73.6,56.6,72.1,57.9,72.0,56.4,72.9,54.5,73.8,53.0,74.1,55.8,72.3
12:26:28,48.7,76.6,54.3,73.6,56.6,72.3,57.9,71.8,56.4,72.9,54.5,73.8,53.0,74.1,55.8,72.3
12:26:48,48.7,76.6,54.3,73.6,56.7,72.3,57.9,72.0,56.4,72.9,54.6,73.8,53.0,74.1,55.8,72.3
12:27:00,48.7,76.6,54.3,73.6,56.7,72.3,57.9,72.0,56.4,72.9,54.6,73.9,53.1,74.1,55.8,72.3
12:27:13,48.8,76.6,54.3,73.6,56.7,72.3,57.9,72.0,56.4,72.9,54.6,73.9,53.1,74.1,55.8,72.3
12:27:25,48.8,76.6,54.3,73.8,56.7,72.3,57.9,72.0,56.4,72.9,54.6,73.9,53.1,74.3,55.8,72.3
12:27:50,48.8,76.6,54.4,73.8,56.7,72.3,57.9,72.0,56.4,72.9,54.6,73.9,53.1,74.3,55.8,72.3
12:28:05,48.8,76.6,54.3,73.8,56.7,72.3,57.9,71.8,56.3,72.9,54.6,73.9,53.1,74.3,55.8,72.3
