Time,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
12:07:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:22,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:07:22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:09:22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:11:22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:13:22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:15:22,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:17:22,1,0,0,1,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0
12:17:25,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:17:35,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:17:45,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:17:48,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18:03,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:18:06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18:16,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18:26,1,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18:28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18:30,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:18:32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18:52,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:18:54,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:18:59,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:19:04,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:19:06,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:19:46,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:20:26,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:20:28,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:20:33,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:20:35,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12:20:45,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21:00,1,0,0,1,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21:15,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21:20,1,0,0,1,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0
12:21:22,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21:27,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:21:42,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:21:44,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:09,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:34,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12:22:36,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:38,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:40,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:22:42,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:22:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:24:22,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:24:32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:28:32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:32:32,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12:32:42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:35:42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:38:42,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0
12:38:52,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:42:22,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:42:32,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:43:32,1,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
12:43:42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:46:42,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:49:43,1,0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0
12:49:53,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:51:53,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:53,1,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0
12:54:03,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
