Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
12:04:05,53.3,72,55.3,71.1,55.1,71.1,55.5,70.7,56.6,71.2,55,71.1,54.5,71.1,55.7,71.1
12:04:22,53.3,72,55.4,71.1,55.4,71.1,55.6,70.7,56.6,71.1,55.1,71.1,54.6,71.1,55.8,71.1
12:04:44,53.3,72,55.4,71.1,55.5,71.1,55.8,70.7,56.7,71.2,55.1,71.2,54.6,71.2,55.9,71.1
12:05:09,53.2,72.1,55.5,71.1,55.5,71.1,55.9,70.7,56.8,71.1,55.1,71.2,54.7,71.2,56,71.1
12:05:21,52.9,72.5,55.6,71.2,55.6,71.1,56,70.7,56.9,71.1,55.2,71.2,54.7,71.2,56.2,71.2
12:05:41,52.6,72.7,55.6,71.2,55.7,71.1,56,70.9,57,71.2,55.1,71.2,54.7,71.2,56.2,71.1
12:05:58,52.6,72.9,55.7,71.2,55.8,71.1,56.1,70.7,-1,51.6,55.2,71.2,54.7,71.2,56.3,71.2
12:06:16,52.4,72.9,55.7,71.2,55.8,71.1,56.1,70.7,57,71.2,-1,51.6,54.7,71.4,56.3,71.2
12:06:28,52.4,73.2,55.8,71.4,55.9,71.1,56.2,70.9,57,71.2,55.2,71.2,54.8,71.4,-1,51.6
12:06:48,52.3,73.6,55.8,71.2,55.9,71.1,56.2,70.9,57.1,71.2,55.3,71.4,54.8,71.4,56.5,71.2
12:07:18,52.2,73.6,55.9,71.4,56.1,71.1,56.3,70.7,57.1,71.2,55.3,71.4,54.8,71.6,56.6,71.2
12:07:35,52,73.9,55.9,71.4,56.1,71.1,56.6,70.9,57.1,71.2,55.4,71.4,54.8,71.6,56.7,71.2
12:07:57,52,73.9,56,71.4,56.2,71.1,56.6,70.9,57.2,71.4,55.3,71.4,54.8,71.6,56.8,71.2
12:08:20,52,74.5,56.1,71.6,56.3,71.1,56.7,70.9,57.3,71.4,55.4,71.6,54.8,71.8,56.9,71.2
12:08:45,52,74.3,56.2,71.6,56.4,71.1,56.9,70.9,57.3,71.4,-1,51.8,54.8,71.8,-1,51.6
12:08:59,51.6,74.8,56.3,71.6,56.5,71.1,57.2,71.1,57.4,71.4,55.4,71.8,54.8,72,57.1,71.2
12:09:34,51.6,74.8,56.5,71.8,56.6,71.2,57.2,71.1,57.5,71.4,55.5,71.8,54.8,72,57.3,71.2
12:09:57,51.5,75,56.5,71.6,56.6,71.1,57.3,71.1,57.4,71.4,55.6,71.8,54.9,72,57.4,71.2
12:10:09,51.4,75.2,56.7,71.8,56.7,71.2,57.4,71.1,57.5,71.6,55.6,72,54.9,72,57.6,71.4
12:10:36,51.4,75.2,56.8,72,56.7,71.2,57.5,71.1,57.5,71.6,55.7,72,54.9,72,57.6,71.4
12:10:54,51.2,75.6,56.8,72,56.8,71.2,57.6,71.1,57.7,71.6,55.7,72,55,72.3,57.6,71.4
12:11:23,51.2,75.7,56.9,72,57,71.2,57.7,71.1,57.7,71.8,55.7,72.1,55,72.3,57.8,71.4
12:11:48,51.1,76.1,57,72.1,57,71.4,58,71.2,57.7,71.8,55.7,72.1,55,72.3,58.1,71.4
12:12:16,51,76.1,57.1,72.1,57.2,71.4,58,71.1,57.7,71.8,55.8,72.3,55.1,72.5,58.2,71.6
12:12:43,51.2,76.3,57.2,72.1,57.2,71.4,58.1,71.2,57.9,71.8,55.8,72.3,55.1,72.5,58.2,71.6
12:12:55,50.9,76.5,57.3,72.3,57.3,71.4,58.2,71.2,58,72,55.8,72.3,55.1,72.7,58.3,71.6
12:13:18,50.8,76.5,57.4,72.3,57.3,71.4,58.2,71.2,58,72,55.8,72.3,55.1,72.7,58.4,71.6
12:13:32,51,76.6,57.5,72.3,57.4,71.4,58.3,71.2,58,72,55.8,72.3,55.1,72.7,58.4,71.6
12:13:47,50.9,76.6,57.5,72.5,57.5,71.6,58.4,71.2,58,72,55.9,72.5,55.1,72.9,58.6,71.6
12:14:10,50.9,76.8,57.6,72.5,57.6,71.6,58.4,71.2,58.1,72,55.9,72.5,55.1,72.9,58.6,71.6
12:14:29,50.8,76.8,57.6,72.5,57.6,71.6,58.5,71.4,58.2,72,56,72.7,55.1,72.9,58.7,71.6
12:14:44,50.8,77,57.6,72.5,57.6,71.6,58.5,71.4,58.2,72,56.2,72.7,55.2,72.9,58.7,71.8
12:14:56,50.8,77,57.9,72.7,57.7,71.6,58.6,71.4,58.2,72,56.2,72.7,55.2,72.9,58.8,71.8
12:15:09,50.8,77,58.1,72.7,57.7,71.6,58.6,71.4,58.3,72.1,56.2,72.7,55.2,73,59,71.8
12:15:31,50.7,77.2,58.1,72.7,57.8,71.8,58.7,71.4,58.3,72.1,56.2,72.9,55.2,73,59,71.8
12:15:43,50.7,77.2,58.5,72.9,57.9,71.8,58.7,71.4,58.5,72.1,56.3,72.9,55.2,73,58.9,71.8
12:15:58,50.6,77.4,58.5,72.9,58,71.8,58.8,71.4,58.6,72.1,56.3,73,55.2,73.2,58.9,72
12:16:23,50.6,77.4,58.5,73,58.1,71.8,58.8,71.4,58.6,72.1,56.3,73,55.3,73.2,58.9,72
12:16:45,50.6,77.5,58.6,73,58.1,71.8,58.9,71.6,58.7,72.3,56.2,73,55.3,73.2,59,72
12:17:05,50.4,77.7,58.5,73,58.1,71.8,58.9,71.6,58.7,72.3,56.2,73.2,55.3,73.4,59.1,72
12:17:20,50.4,77.7,58.5,73,58.2,71.8,59,71.6,58.8,72.3,56.2,73.2,55.3,73.4,59.1,72
12:17:37,50.4,77.9,58.5,73.2,58.3,72,59.1,71.6,58.8,72.3,55.9,73.2,55.4,73.6,59.3,72
12:18:07,50.1,77.9,57.8,73.4,58.3,72,59.1,71.6,59.1,72.3,56,73.2,55.4,73.6,59.3,72
12:18:29,50.1,78.1,57.8,73.4,58.5,72,59.2,71.6,59.3,72.5,56.3,73.2,55.3,73.6,59.3,72.1
12:18:59,50.1,77.9,58.1,73.4,58.4,72,59.2,71.6,59.1,72.5,56.3,73.2,55.4,73.8,59.5,72.1
12:19:14,50.1,78.1,-1,52.7,58.5,72,59.3,71.8,59.1,72.5,56.2,73.4,55.4,73.8,59.5,72
12:19:29,50.1,78.1,58.2,73.6,58.6,72.1,59.3,71.8,59.1,72.5,56.2,73.4,55.4,73.8,59.5,72.1
12:19:51,50,78.3,58.2,73.6,58.6,72,59.3,71.8,59.1,72.7,56.2,73.6,55.4,73.8,59.6,72.1
12:20:08,49.9,78.3,58.1,73.6,58.6,72.1,59.4,71.8,59.1,72.7,56.2,73.6,55.3,73.8,59.6,72.1
12:20:26,50,78.3,58.1,73.6,58.7,72.1,59.4,71.8,59.1,72.9,56.1,73.6,55.3,73.9,59.6,72.1
