Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
16:22:31,60,69.8,63,73.4,57,71.6,60,69.8,54,75.2,58,69.8,59,69.8,61,69.8
16:22:53,62,69.8,63,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,61,69.8
16:23:13,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,61,69.8
16:23:28,61,69.8,63,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,61,69.8
16:23:43,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,60,69.8
16:23:55,61,69.8,63,73.4,54,71.6,60,69.8,54,73.4,57,69.8,59,69.8,60,69.8
16:24:07,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,61,69.8
16:24:50,61,69.8,62,73.4,54,71.6,60,69.8,54,73.4,57,69.8,59,69.8,61,69.8
16:25:25,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,61,69.8
16:25:57,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,61,69.8
16:26:32,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,58,69.8,60,69.8
16:26:49,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,58,69.8,60,69.8
16:27:17,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,58,69.8,60,69.8
16:27:36,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,58,69.8,60,69.8
16:28:04,61,69.8,62,73.4,54,71.6,60,69.8,54,75.2,56,69.8,58,69.8,60,69.8
16:28:21,61,69.8,62,73.4,54,71.6,60,69.8,54,73.4,56,69.8,58,69.8,60,69.8
16:28:38,61,69.8,62,73.4,54,71.6,60,69.8,54,73.4,57,69.8,58,69.8,60,69.8
16:28:53,61,69.8,62,73.4,54,71.6,60,69.8,54,73.4,57,69.8,58,69.8,60,69.8
16:29:08,61,69.8,,,54,71.6,59,69.8,54,75.2,57,69.8,58,69.8,60,69.8
16:29:33,61,69.8,62,73.4,54,71.6,59,69.8,54,75.2,57,69.8,58,69.8,60,69.8
16:30:00,62,69.8,62,73.4,54,71.6,59,69.8,54,75.2,57,69.8,58,69.8,60,69.8
16:30:30,62,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,58,69.8,61,69.8
16:30:42,62,69.8,62,73.4,54,71.6,60,69.8,54,75.2,57,69.8,59,69.8,61,69.8
16:30:57,62,69.8,63,73.4,54,71.6,60,69.8,54,73.4,57,69.8,59,69.8,62,69.8
16:31:35,63,69.8,63,73.4,54,71.6,60,69.8,54,73.4,58,69.8,59,69.8,62,69.8
16:31:47,64,69.8,63,73.4,55,71.6,61,69.8,55,75.2,58,69.8,59,69.8,62,69.8
16:31:59,64,69.8,63,73.4,55,71.6,61,69.8,55,73.4,58,69.8,59,69.8,62,69.8
16:32:19,65,69.8,64,73.4,55,71.6,61,69.8,55,75.2,59,69.8,60,69.8,63,69.8
16:32:41,65,69.8,64,73.4,55,71.6,62,69.8,55,73.4,60,69.8,59,69.8,63,69.8
