Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
9:24:31,59,75.2,60,77,57,73.4,58,71.6,54,78.8,58,73.4,60,73.4,62,73.4
9:24:56,59,73.4,60,77,54,73.4,58,71.6,53,78.8,57,73.4,60,71.6,61,73.4
9:25:16,59,73.4,60,77,54,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:25:35,59,73.4,59,77,54,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:25:58,59,73.4,59,77,54,73.4,58,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:26:23,59,73.4,59,77,54,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:26:58,59,73.4,59,77,54,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:27:17,59,73.4,60,77,54,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:27:40,59,73.4,59,77,54,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:27:59,59,73.4,59,77,54,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:28:24,59,73.4,59,77,54,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:28:47,59,73.4,59,77,54,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:29:12,59,73.4,59,77,54,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:29:34,59,73.4,59,77,54,73.4,61,71.6,,,57,73.4,59,73.4,61,73.4
9:29:49,59,73.4,60,77,54,73.4,58,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:30:16,59,73.4,60,77,54,73.4,61,71.6,53,78.8,58,73.4,59,71.6,61,73.4
9:30:33,59,73.4,60,77,54,73.4,61,71.6,53,78.8,57,73.4,59,71.6,61,73.4
9:30:51,59,73.4,60,77,54,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:31:03,59,73.4,60,77,54,73.4,58,71.6,53,78.8,57,73.4,60,71.6,61,73.4
9:31:30,59,73.4,59,77,54,73.4,58,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:32:03,59,73.4,59,77,54,73.4,58,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:32:20,59,73.4,59,77,54,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:32:40,59,73.4,59,77,54,73.4,61,71.6,53,78.8,57,73.4,60,73.4,61,73.4
9:32:57,59,73.4,59,77,54,73.4,61,71.6,53,78.8,57,73.4,60,73.4,61,73.4
9:33:19,59,73.4,59,77,54,73.4,58,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:33:42,59,73.4,59,77,54,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:34:04,59,73.4,59,77,54,73.4,57,71.6,53,78.8,57,73.4,59,71.6,61,73.4
9:34:31,59,73.4,59,77,53,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:34:46,59,73.4,59,77,54,73.4,57,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:35:19,59,73.4,59,77,53,73.4,57,71.6,53,78.8,57,73.4,58,73.4,61,73.4
9:35:51,59,73.4,59,77,53,73.4,61,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:36:06,59,73.4,59,77,53,73.4,57,71.6,53,78.8,57,73.4,59,73.4,60,73.4
9:36:31,59,73.4,59,77,53,73.4,60,71.6,53,78.8,57,73.4,59,73.4,61,73.4
9:36:43,59,73.4,59,77,53,73.4,60,71.6,53,78.8,57,73.4,58,73.4,61,73.4
9:37:08,59,73.4,59,77,53,73.4,57,71.6,52,78.8,57,73.4,58,71.6,61,73.4
9:37:25,59,73.4,59,77,53,73.4,,,52,78.8,57,73.4,58,71.6,60,73.4
9:37:47,59,73.4,59,77,53,73.4,60,71.6,52,78.8,57,73.4,58,71.6,60,73.4
9:38:05,59,73.4,59,77,53,73.4,60,71.6,52,78.8,57,73.4,58,73.4,60,73.4
9:38:19,58,73.4,59,77,53,73.4,57,71.6,52,78.8,56,73.4,58,73.4,60,73.4
9:38:52,59,73.4,58,77,53,73.4,57,71.6,52,78.8,56,73.4,58,73.4,60,71.6
9:39:07,59,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:39:21,59,73.4,58,77,53,73.4,57,71.6,53,78.8,56,73.4,58,71.6,60,73.4
9:39:34,59,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:39:56,59,73.4,58,77,53,73.4,57,71.6,52,78.8,56,73.4,58,71.6,61,73.4
9:40:11,58,73.4,58,77,53,73.4,60,71.6,53,78.8,56,73.4,58,71.6,60,73.4
9:40:25,58,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:40:45,58,73.4,58,77,53,73.4,57,71.6,53,78.8,56,73.4,58,71.6,60,73.4
9:41:07,58,73.4,58,77,53,73.4,60,71.6,53,78.8,56,73.4,58,71.6,60,73.4
9:41:22,58,73.4,58,77,53,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:41:42,58,73.4,58,77,53,73.4,57,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:41:57,58,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:42:19,58,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:42:39,58,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,73.4,60,73.4
9:42:56,58,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,71.6
9:43:08,58,73.4,58,77,53,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:43:38,58,73.4,58,77,53,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:43:58,58,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:44:13,58,73.4,58,77,53,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:44:25,58,73.4,58,77,53,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,71.6
9:44:50,58,73.4,,,53,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,71.6
9:45:15,58,73.4,58,77,52,73.4,59,71.6,52,78.8,56,73.4,,,60,73.4
9:45:32,58,73.4,58,77,53,,60,71.6,52,78.8,56,73.4,,,60,71.6
9:45:49,58,73.4,,,53,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:46:24,58,73.4,,,52,73.4,56,71.6,52,78.8,56,73.4,58,71.6,,
9:46:57,58,73.4,58,77,52,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:47:17,58,73.4,58,77,52,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:47:44,58,73.4,58,77,52,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:48:14,58,73.4,58,77,52,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,71.6
9:48:41,58,73.4,58,77,52,73.4,60,71.6,52,78.8,,,58,71.6,60,73.4
9:49:04,58,73.4,58,77,52,73.4,60,71.6,52,78.8,56,73.4,,,60,73.4
9:49:24,58,73.4,58,77,52,73.4,56,71.6,52,78.8,55,73.4,57,71.6,60,73.4
9:49:38,57,73.4,58,77,52,73.4,60,71.6,52,78.8,55,73.4,58,71.6,60,71.6
9:50:18,57,73.4,58,77,52,73.4,56,71.6,52,78.8,56,73.4,57,71.6,60,73.4
9:50:36,57,73.4,58,77,52,73.4,60,71.6,52,78.8,56,73.4,58,71.6,60,73.4
9:50:53,57,73.4,58,77,52,73.4,56,71.6,52,78.8,56,73.4,57,71.6,60,73.4
9:51:20,57,73.4,58,77,52,73.4,56,71.6,,,56,73.4,58,71.6,,
9:51:35,57,73.4,58,77,52,73.4,,,52,78.8,56,73.4,58,71.6,60,71.6
9:52:07,57,73.4,58,77,52,73.4,56,71.6,52,78.8,56,73.4,58,71.6,60,71.6
9:52:30,57,73.4,58,77,52,73.4,59,71.6,52,78.8,56,73.4,58,71.6,,
9:53:00,57,73.4,58,77,52,73.4,56,71.6,52,78.8,55,73.4,58,71.6,60,73.4
