Time on 08 Jun 2021,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
10:40:31,63,69.8,64,73.4,59,69.8,58,69.8,57,73.4,58,69.8,61,69.8,63,69.8
10:41:30,64,69.8,65,71.6,55,69.8,58,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:41:57,64,69.8,65,71.6,55,69.8,62,69.8,56,73.4,59,69.8,61,69.8,63,69.8
10:42:29,64,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:43:02,65,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:43:27,64,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:43:44,64,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:44:19,64,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:44:41,64,69.8,65,71.6,55,69.8,58,69.8,57,73.4,59,69.8,61,69.8,64,69.8
10:45:01,64,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:45:36,63,69.8,65,71.6,55,69.8,58,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:46:09,64,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:46:26,63,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:46:46,63,69.8,65,71.6,55,69.8,59,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:47:23,63,69.8,65,71.6,55,69.8,,,57,73.4,59,69.8,61,69.8,64,69.8
10:47:56,63,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,64,69.8
10:48:28,62,69.8,65,71.6,55,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:49:08,62,69.8,65,71.6,55,69.8,62,69.8,57,73.4,60,69.8,62,69.8,63,69.8
10:49:38,62,69.8,65,71.6,56,69.8,59,69.8,57,73.4,59,69.8,62,69.8,64,69.8
10:49:55,62,69.8,65,71.6,56,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:50:13,62,69.8,65,71.6,56,69.8,59,69.8,57,73.4,60,69.8,61,69.8,64,69.8
10:50:27,62,69.8,65,71.6,56,69.8,62,69.8,57,73.4,59,69.8,61,69.8,64,69.8
10:50:45,62,69.8,65,71.6,56,69.8,62,69.8,57,73.4,59,69.8,61,69.8,63,69.8
10:50:59,62,69.8,65,71.6,56,69.8,59,69.8,57,73.4,60,69.8,62,69.8,64,69.8
