Time on 09 Jun 2021,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
9:43:53,62,71.6,62,73.4,61,69.8,65,69.8,54,75.2,58,71.6,59,69.8,66,69.8
9:44:13,65,69.8,67,71.6,58,69.8,61,69.8,59,73.4,62,69.8,63,69.8,65,69.8
9:44:45,65,69.8,67,71.6,58,69.8,64,69.8,59,73.4,61,69.8,63,69.8,65,69.8
9:45:03,65,69.8,67,71.6,-1,50,64,69.8,59,73.4,61,69.8,63,69.8,65,69.8
9:45:23,65,69.8,67,71.6,58,69.8,64,69.8,59,73.4,62,69.8,63,69.8,65,69.8
9:45:40,65,69.8,67,73.4,58,69.8,64,69.8,59,73.4,61,69.8,63,69.8,65,69.8
9:46:15,65,69.8,67,71.6,57,69.8,64,69.8,59,73.4,61,69.8,62,69.8,65,69.8
9:46:40,65,69.8,67,71.6,58,69.8,61,69.8,59,73.4,61,69.8,62,69.8,65,69.8
9:47:05,65,69.8,67,71.6,58,71.6,61,69.8,59,73.4,61,69.8,63,69.8,65,69.8
9:47:27,65,69.8,67,71.6,57,69.8,64,69.8,59,73.4,61,69.8,63,69.8,65,69.8
9:47:42,65,69.8,67,71.6,57,69.8,64,69.8,59,73.4,61,69.8,62,69.8,65,69.8
9:47:59,65,69.8,-1,51.8,57,69.8,64,69.8,58,73.4,61,69.8,62,69.8,65,69.8
9:48:19,65,69.8,67,71.6,57,69.8,64,69.8,58,73.4,61,69.8,62,69.8,65,69.8
9:48:44,65,69.8,67,71.6,57,69.8,64,69.8,58,73.4,61,69.8,62,69.8,65,69.8
9:48:58,65,69.8,67,71.6,57,69.8,-1,50,58,73.4,61,69.8,62,69.8,65,69.8
9:49:23,65,69.8,67,71.6,57,69.8,60,69.8,58,73.4,61,69.8,62,69.8,65,69.8
9:49:43,65,69.8,67,71.6,57,69.8,64,69.8,58,75.2,61,69.8,62,69.8,65,69.8
9:50:00,66,71.6,67,71.6,57,69.8,64,69.8,58,73.4,61,69.8,62,69.8,65,69.8
9:50:18,66,71.6,67,71.6,57,69.8,64,69.8,58,73.4,61,69.8,62,69.8,65,69.8
9:50:32,66,71.6,67,71.6,57,69.8,64,69.8,58,73.4,61,69.8,62,69.8,65,69.8
