Time on 05 Jun 2021,S4_Humidity,S4_Temperature
17:35:36,50.1,71.8
17:35:46,50.2,71.8
17:35:52,50.2,71.8
17:36:00,50.1,72
17:36:11,50.1,71.8
17:36:16,50.4,71.8
17:36:24,50.3,72
17:36:30,50,72
17:36:35,50.1,72
17:36:41,50.1,71.8
17:36:46,50,72
17:36:52,49.9,72
17:37:00,49.8,72
17:37:13,49.7,72
17:37:21,49.6,72
17:37:27,49.6,72
17:37:32,50.2,72.5
17:37:43,50.6,72.7
17:37:48,50.7,72.7
17:37:54,50.6,73
17:38:02,50.5,73
17:38:07,49.9,73.4
17:38:18,49.3,73.8
17:38:26,49.1,73.9
17:38:34,49,73.9
17:38:40,48.9,74.1
17:38:45,48.6,74.5
17:38:53,48.2,74.7
17:39:01,48.2,74.7
17:39:07,47.9,74.8
17:39:12,47.3,75.2
17:39:20,47.4,75.2
17:39:26,47.2,75.4
17:39:31,47.2,75.6
17:39:37,47,75.7
17:39:43,46.6,75.7
17:39:48,46.3,75.9
17:39:54,46.4,76.3
17:40:02,46.2,76.3
17:40:07,45.9,76.5
17:40:13,45.7,76.5
17:40:18,45.6,76.6
17:40:24,45.5,76.8
17:40:32,45.6,77
17:40:37,45.1,77.2
17:40:45,44.5,77.5
17:40:59,44.4,77.5
17:41:04,44.4,77.5
17:41:10,44.2,77.9
17:41:18,44.1,77.9
17:41:23,44,77.9
17:41:29,44,78.1
17:41:34,43.8,78.3
17:41:42,43.5,78.3
17:41:50,43.3,78.4
17:42:01,43.4,78.4
17:42:07,43.4,78.6
17:42:12,43.4,78.6
17:42:18,43.4,78.8
17:42:26,43.2,79
17:42:34,43.3,79
17:42:39,43.1,79.2
17:42:45,42.8,79.2
17:42:50,42.6,79.2
17:42:56,42.8,79.3
17:43:01,42.8,79.3
17:43:07,42.7,79.5
17:43:12,42.4,79.5
17:43:18,42.4,79.7
17:43:24,42.2,79.7
17:43:29,42.1,79.7
17:43:35,42,79.9
17:43:40,42,79.9
17:43:46,41.8,79.9
17:43:51,41.9,80.1
17:43:57,41.8,80.1
17:44:05,41.8,80.2
17:44:15,41.4,80.2
17:44:23,41.3,80.2
17:44:29,41.1,80.4
17:44:37,41.1,80.4
17:44:43,41.1,80.6
17:44:51,40.9,80.6
17:45:01,40.8,80.6
17:45:07,40.8,80.8
17:45:17,40.8,80.8
17:45:25,40.8,81
17:45:31,40.7,81
17:45:36,40.7,81
17:45:42,40.7,81
17:45:48,40.5,81
17:45:53,40.4,81
17:45:59,40.4,81
17:46:04,40.4,81
17:46:10,40.3,81
17:46:18,40.3,81
17:46:23,40.2,81
17:46:29,40.2,81.1
17:46:34,40.2,81
17:46:40,40.2,81
17:46:48,40.4,81.1
17:46:58,40.3,81
17:47:07,40.2,81
17:47:12,40.2,81
17:47:18,40,81
17:47:23,40,81
17:47:29,40.1,81
17:47:34,40.1,81
17:47:40,40.2,81
17:47:45,40.2,81
17:47:53,40.2,81
17:48:01,40.2,81.1
17:48:07,40.3,81.1
17:48:12,40.2,81.1
17:48:18,40,81.1
17:48:24,39.9,81.1
17:48:29,39.9,81.1
17:48:35,39.9,81.1
17:48:40,39.9,81.1
17:48:46,39.9,81.1
17:48:54,39.9,81.1
17:48:59,39.8,81.1
17:49:05,39.8,81.1
17:49:10,39.8,81.1
17:49:16,40,81
17:49:24,40,81.1
17:49:29,39.9,81.1
17:49:35,39.9,81
17:49:40,39.9,81.1
17:49:46,39.9,81
17:49:54,40,81
17:50:00,39.9,81
17:50:05,39.9,81
17:50:11,39.9,81
17:50:16,39.9,81
17:50:22,40,81
17:50:27,40,81
17:50:33,40.1,81
17:50:41,40.1,81
17:50:46,40,80.8
17:50:52,40,80.8
17:50:57,40,80.8
17:51:03,40.1,81
17:51:09,40.1,80.8
17:51:14,40.1,80.8
17:51:20,40.2,80.8
17:51:25,40,81
17:51:31,40.1,80.8
17:51:49,40,80.8
17:51:54,40,80.8
17:52:00,40.1,80.8
17:52:05,40.3,80.6
17:52:14,40.3,80.6
17:52:19,40.2,80.6
17:52:25,40.4,80.6
17:52:30,40.3,80.6
17:52:36,40.2,80.6
17:52:41,40.2,80.6
17:52:47,40.4,80.6
17:52:52,40.3,80.4
