Time,S4_Humidity,S4_Temperature,S6_Humidity,S6_Temperature,S12_Humidity,S12_Temperature,S18_Humidity,S18_Temperature,S19_Humidity,S19_Temperature,S24_Humidity,S24_Temperature,S25_Humidity,S25_Temperature,S26_Humidity,S26_Temperature
12:44:01,60,71.6,62,73.4,53,71.6,59,69.8,52,75.2,57,69.8,59,69.8,61,71.6
12:44:28,61,71.6,62,73.4,53,71.6,,,53,75.2,57,69.8,59,69.8,61,71.6
12:44:43,60,71.6,62,73.4,54,71.6,59,69.8,53,75.2,57,69.8,59,69.8,61,71.6
12:45:00,60,71.6,61,73.4,54,71.6,59,69.8,53,75.2,57,69.8,59,69.8,62,71.6
12:45:33,60,71.6,61,73.4,54,71.6,56,69.8,53,75.2,58,69.8,59,69.8,62,71.6
12:45:47,61,71.6,61,73.4,54,71.6,56,69.8,53,75.2,57,69.8,59,69.8,62,71.6
12:46:22,61,71.6,60,75.2,54,71.6,56,69.8,53,75.2,57,69.8,58,69.8,62,71.6
12:46:57,60,71.6,60,75.2,,,60,69.8,53,75.2,57,69.8,58,69.8,62,71.6
12:47:17,61,71.6,60,75.2,54,71.6,60,69.8,53,75.2,57,69.8,58,69.8,62,71.6
12:47:32,65,71.6,60,75.2,54,71.6,59,69.8,53,75.2,58,71.6,58,69.8,62,71.6
12:48:02,65,71.6,60,75.2,54,71.6,56,69.8,53,75.2,58,71.6,58,69.8,62,71.6
12:48:19,60,73.4,60,75.2,54,71.6,61,71.6,53,75.2,58,71.6,59,69.8,62,71.6
12:48:41,58,75.2,60,75.2,54,71.6,60,69.8,53,75.2,58,71.6,60,71.6,62,71.6
12:49:06,55,77,61,75.2,54,71.6,60,69.8,53,75.2,58,71.6,60,71.6,62,71.6
12:49:34,53,77,60,75.2,54,71.6,60,69.8,53,75.2,58,71.6,60,71.6,62,71.6
12:49:51,49,80.6,61,75.2,54,71.6,62,71.6,53,75.2,58,71.6,60,71.6,62,71.6
12:50:23,48,80.6,61,75.2,54,71.6,58,71.6,53,77,58,71.6,60,71.6,62,71.6
