Day,Max Temp,Avg Temp,Min Temp,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min
1,59,51.2,46,80,59.3,40
2,67,53.3,40,77,49.1,26
3,76,59,39,79,41,16
4,77,63.2,47,69,41.8,21
5,76,64.3,54,75,52.6,31
6,82,68,55,89,59,28
7,81,69.2,56,87,59.8,36
8,84,71.8,59,83,58.6,37
9,82,68.8,60,90,55.2,14
10,62,54.9,44,49,29.3,18
11,67,53.2,34,75,40.3,23
12,67,61.2,49,90,81.5,55
13,78,70.3,62,90,73.9,42
14,75,63.4,54,69,57.1,44
15,60,52,44,79,48,28
16,68,53.8,36,93,51.9,19
17,71,58,38,89,52.8,28
18,71,62.5,52,87,54.5,19
19,64,54.2,40,79,59.4,47
20,67,56.6,52,94,80.2,45
21,76,63.5,49,90,52.8,25
22,70,59.7,44,60,38.4,25
23,65,59.3,54,94,81.6,55
24,79,67.3,62,90,71.3,39
25,68,62.3,58,93,76.2,58
26,72,60.8,54,94,74.4,39
27,73,59.8,48,74,45.7,20
28,75,63,44,82,47.1,37
29,78,68.7,59,90,61.2,42
30,67,58.1,53,93,80,52
