Day,Max Temp,Avg Temp,Min Temp,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min
1,50,39.6,28,57,46.3,36
2,45,35.1,29,64,49.8,27
3,47,34.7,20,81,47.3,27
4,60,45.9,31,59,36.6,20
5,45,34.2,24,75,49.8,31
6,42,34.9,26,61,32.7,20
7,57,45.2,34,44,28.2,15
8,62,43.6,32,49,31.3,9
9,42,34.6,25,75,47.9,29
10,30,22.6,9,91,73.5,51
11,42,26.2,8,84,61,29
12,44,30.4,22,63,40.3,15
13,46,28.6,15,68,46.4,18
14,57,37.5,23,81,33.6,11
15,46,29.3,16,85,50.9,23
16,36,28.8,20,66,48.8,37
17,54,36.3,22,68,42.4,22
18,43,27,13,84,52.7,18
19,45,29.5,16,71,48.7,25
20,52,35.3,19,65,37.3,16
21,51,38.8,31,54,42.9,30
22,52,40.2,32,59,40.5,21
23,40,33.4,27,61,42.2,32
24,56,37.5,19,77,45.8,20
25,53,39.5,31,64,44.6,23
26,52,38.9,27,69,45.3,26
27,39,33.5,26,100,79.9,55
28,40,30.5,22,85,63.9,42
29,41,32.8,24,92,75,54
30,39,30.1,22,96,77.1,46
31,52,35.9,20,74,43.2,18
