Day,Max Temp,Avg Temp,Min Temp,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min
1,45,34.6,22,75,57.7,43
2,53,47.8,43,100,77.7,45
3,49,40.4,31,96,69.8,44
4,46,39.4,34,73,55.2,34
5,47,36.6,25,93,63.6,37
6,37,34.2,29,97,82.6,64
7,43,33.1,24,71,57,36
8,60,47.7,34,64,42.9,26
9,63,55.1,47,71,46.8,36
10,54,47.4,33,100,82,
11,45,39,31,97,76.4,56
12,51,43.1,38,97,81.9,61
13,48,43.4,38,97,54,29
14,37,34,30,70,61.9,44
15,44,34.7,29,85,58.3,28
16,46,36.2,25,82,69,46
17,51,42.3,39,89,62.7,27
18,47,39.2,32,100,75.5,49
19,54,43,40,100,94,
20,65,50.6,30,97,67.2,
21,36,29.2,24,66,56.6,44
22,38,30.9,20,96,65.1,36
23,41,34.9,32,100,90,67
24,42,38.6,36,79,71.7,65
25,55,42.8,31,93,72.4,49
26,58,47.7,39,100,80,60
27,45,39.5,35,96,88.9,76
28,50,44.9,40,100,94.7,
29,64,51.3,45,100,73.5,
30,48,43.8,42,76,68.8,56
31,46,41.9,39,89,80.9,71
