Day,Max Temp,Avg Temp,Min Temp,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min
1,94,79.3,71,96,78.1,46
2,93,80.5,71,97,79,48
3,90,79.4,73,97,84.8,61
4,86,77.1,73,100,86.6,69
5,85,76,72,97,89.1,67
6,88,77.1,72,97,87.8,62
7,86,77,74,96,88.2,70
8,89,80.3,75,97,84.4,63
9,92,80.7,73,100,82.4,55
10,94,83.2,74,97,78.7,52
11,96,84,74,96,73.5,46
12,94,83.6,73,93,68.3,40
13,95,83.1,73,93,71.1,43
14,93,82.5,75,97,76.6,52
15,91,83.2,74,97,76,59
16,90,81.2,71,96,76.3,55
17,90,81.7,73,97,78.3,59
18,90,81.9,73,97,77.4,57
19,91,81.9,73,97,76.9,53
20,91,82.4,72,97,75.5,52
21,91,83.4,74,97,72.5,52
22,90,80.6,75,96,82.7,59
23,90,79.3,74,97,87.5,61
24,90,81.1,72,97,78.4,57
25,90,81.5,73,97,77.9,54
26,91,80.8,72,97,78.5,57
27,93,78.4,72,97,85.7,54
28,92,78.9,73,100,84.4,54
29,88,77,73,96,88.9,63
30,89,79.3,73,96,81.7,59
31,93,82.9,74,94,73.7,47
