Day,Max Temp,Avg Temp,Min Temp,Humidity (%) Max,Humidity (%) Avg,Humidity (%) Min
1,101,88,72,24,13.7,7
2,101,90.3,79,21,14.4,10
3,105,95.3,86,15,12,9
4,107,96.3,82,20,12,7
5,103,92.3,81,22,13.4,6
6,88,79.7,73,37,25.5,17
7,87,76.5,65,36,18.1,7
8,79,71,62,18,11.5,7
9,87,76.7,63,20,12.3,8
10,97,84.7,70,21,11.8,6
11,103,89.3,71,22,10.5,4
12,102,89.1,72,18,9,4
13,90,82.1,74,22,13.4,7
14,95,84.3,72,22,13.8,9
15,100,89.2,72,26,13,7
16,98,89.8,81,22,15.4,10
17,94,86,77,24,13.3,6
18,95,86.3,77,15,8.5,6
19,99,88,75,17,10.7,6
20,105,92,76,19,10.8,5
21,106,95.1,80,17,11.2,7
22,108,96.2,81,17,11.5,7
23,108,96.6,83,18,10.5,6
24,106,96,81,16,10.4,7
25,108,96.2,81,21,12.8,7
26,103,94.4,84,24,15.7,6
27,108,96.6,80,25,13.7,7
28,104,93.2,83,25,14.6,5
29,89,82,75,18,12.3,6
30,95,85,73,15,10.2,7
