Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
09:53:42,53.8,53.0,56.9,51.7,55.0,52.6,55.6,52.1,54.8,53.0,57.5,52.1,55.9,52.1,54.6,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:53:57,53.8,53.4,56.7,51.7,55.0,52.6,55.4,52.1,54.6,53.0,57.5,52.1,55.6,52.1,54.6,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:54:17,53.0,54.1,56.7,52.1,55.0,52.6,55.4,52.6,54.6,53.0,57.5,52.1,55.6,52.1,54.6,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:54:34,52.0,55.0,56.9,52.1,55.0,52.6,55.6,52.1,54.8,53.0,57.5,52.1,55.4,52.1,54.4,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:55:07,52.0,55.0,56.9,52.1,55.2,53.0,55.6,52.1,54.6,53.0,57.5,52.1,55.6,52.1,54.6,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:55:39,51.4,55.6,56.9,52.1,55.0,53.0,55.6,52.1,54.6,53.0,57.3,52.1,55.4,52.6,54.6,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:55:56,51.6,56.1,56.9,52.1,55.0,53.0,55.6,52.1,54.8,53.0,57.3,52.1,55.4,52.6,54.8,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:56:19,51.2,56.5,56.9,52.1,55.0,52.6,55.9,52.6,54.8,53.0,57.3,52.6,55.4,53.0,55.0,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:56:41,50.8,57.4,57.3,52.6,55.2,52.6,55.9,52.1,54.8,53.0,57.1,52.6,55.2,53.0,55.4,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:57:08,50.8,57.4,57.3,52.6,55.2,52.6,55.9,52.6,55.0,53.0,57.1,53.0,55.2,53.0,55.4,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:57:38,50.8,58.1,57.3,52.6,55.4,53.0,56.1,52.6,55.0,53.0,57.1,53.0,55.2,53.4,55.4,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:58:07,50.8,58.1,57.5,52.6,55.4,53.0,56.3,52.6,55.0,53.0,57.1,53.0,55.2,53.4,55.6,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
09:58:10,50.8,58.1,57.5,52.6,55.4,53.0,56.3,52.6,55.0,53.0,57.1,53.0,55.2,53.4,55.6,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
09:58:30,50.4,58.9,57.7,52.6,55.6,53.0,56.7,52.6,55.0,53.0,57.1,53.4,55.0,54.1,56.5,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
09:59:46,50.4,58.9,58.7,53.0,56.1,53.0,57.3,52.6,55.2,53.0,57.1,53.4,55.0,54.1,56.9,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:00:26,50.0,60.0,58.9,53.0,56.3,53.0,57.5,52.6,55.4,53.4,57.1,54.1,55.0,54.1,57.3,53.4,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:00:58,49.6,60.9,59.1,53.0,56.3,53.4,57.7,52.6,55.4,53.4,57.1,54.1,55.0,54.5,57.5,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:01:20,49.6,61.4,59.5,53.4,56.3,53.4,57.9,52.6,55.6,53.7,56.9,54.1,55.0,55.4,57.7,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:01:58,49.2,62.0,59.7,53.4,56.5,53.4,57.9,53.0,55.6,53.4,57.1,54.1,54.8,55.4,57.7,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:02:18,48.6,62.5,60.5,53.7,57.1,53.4,58.3,53.0,55.6,53.7,57.5,55.0,54.8,55.4,57.9,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:02:37,48.8,62.9,60.7,53.7,57.3,53.4,58.5,53.0,56.1,54.1,57.5,55.0,55.0,55.4,58.5,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0
10:02:40,48.8,62.9,60.7,53.7,57.3,53.4,58.5,53.0,56.1,54.1,57.5,55.0,55.0,55.4,58.5,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:02:43,48.8,62.9,60.7,53.7,57.3,53.4,58.5,53.0,56.1,54.1,57.5,55.0,55.0,55.4,58.5,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:02:46,48.8,62.9,60.7,53.7,57.3,53.4,58.5,53.0,56.1,54.1,57.5,55.0,55.0,55.4,58.5,53.7,1,0,0,0,1,0,0,0,0,0,0,0,0,1,0,1,0,0,0
10:02:49,48.8,62.9,60.7,53.7,57.3,53.4,58.5,53.0,56.1,54.1,57.5,55.0,55.0,55.4,58.5,53.7,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,0,0,0
