Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
16:04:11,48.6,58.5,54.8,55.0,53.0,55.6,53.4,55.4,52.8,55.6,55.4,55.4,52.8,55.4,53.2,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:11,48.6,58.5,54.8,55.0,53.0,55.6,53.4,55.4,52.8,55.6,55.4,55.4,52.8,55.4,53.2,56.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:17,48.6,58.5,54.8,55.0,53.0,55.6,53.4,55.4,52.8,55.6,55.4,55.4,52.8,55.4,53.2,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:29,48.6,58.9,54.8,55.0,53.0,55.6,53.4,55.4,52.8,55.6,55.4,55.4,52.8,55.4,53.2,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:34,48.4,59.4,54.8,55.4,53.0,55.6,53.4,55.4,52.8,55.6,55.4,55.4,52.8,55.4,53.2,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:46,47.9,59.6,54.8,55.4,53.0,55.6,53.4,55.4,52.8,55.6,55.4,55.4,52.8,55.6,53.2,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:51,47.7,59.6,54.8,55.4,53.0,55.6,53.4,55.4,52.8,55.6,55.4,55.6,52.8,55.4,53.2,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:54,47.7,59.6,54.8,55.4,53.0,55.6,53.4,55.4,53.0,55.6,55.4,55.6,52.8,55.4,53.2,56.5,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:04:56,47.5,60.0,54.8,55.4,53.0,55.6,53.4,55.4,53.0,55.6,55.4,55.6,52.8,55.6,53.2,56.1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:05:08,47.5,60.0,54.8,55.4,53.0,55.6,53.4,55.4,53.0,55.6,55.4,55.6,52.8,55.6,53.2,56.1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:05:14,47.5,60.5,54.8,55.4,53.0,55.6,53.4,55.4,53.0,55.6,55.4,55.4,52.8,55.6,53.2,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:05:33,47.5,60.0,54.8,55.4,53.0,55.6,53.4,55.4,53.0,55.6,55.4,55.6,52.8,55.6,53.4,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:05:36,46.7,60.5,54.8,55.4,53.0,55.6,53.4,55.4,53.0,55.6,55.2,55.6,52.8,55.6,53.4,56.5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
