Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
16:19:16,50.8,54.5,52.0,54.1,51.4,55.0,50.6,54.5,53.4,55.0,53.6,54.5,49.8,55.4,52.4,55.0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:16,50.8,54.5,52.0,54.1,51.4,55.0,50.6,54.5,53.4,55.0,53.6,54.5,49.8,55.4,52.4,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:39,50.8,54.5,52.0,54.1,51.4,55.0,50.6,54.5,53.4,55.0,53.6,54.5,49.8,55.4,52.4,55.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:19:57,50.8,55.0,52.0,54.5,51.2,55.0,50.6,54.5,53.0,55.0,53.6,54.5,49.6,55.4,52.2,55.2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:21,50.8,55.4,51.8,54.5,51.0,55.0,50.4,54.5,53.0,55.0,53.6,55.0,49.4,55.4,52.2,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:20:46,50.6,56.1,51.8,54.5,51.0,55.0,50.6,54.5,53.0,55.4,53.6,55.0,49.8,55.6,52.2,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:04,49.8,56.5,51.6,54.5,50.8,55.0,50.4,54.5,53.0,55.4,53.8,55.0,49.8,55.6,52.2,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:23,49.6,57.0,51.6,54.5,50.8,55.0,50.8,54.5,53.0,55.0,54.0,55.0,49.8,55.6,52.2,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:43,49.2,57.6,51.6,54.5,51.2,55.0,51.0,54.5,53.2,55.4,53.8,55.4,49.8,55.6,52.2,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:21:58,48.1,58.5,51.6,54.5,51.4,55.0,51.2,54.5,53.2,55.4,54.0,55.4,49.8,56.1,52.2,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
16:22:20,48.1,58.5,51.8,55.0,51.6,55.0,51.4,55.0,53.6,55.4,54.0,55.4,49.6,56.5,52.4,55.4,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
