Time,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,lamp,heater,fan,ac,Bedroom 2 to Bathroom,Bedroom 1 to Living Room,Living Room to Kitchen,Living Room to Bathroom,Bedroom 1 to Bathroom,Living Room to Outside,Bedroom 1 to Outside,Bedroom 1 Left Window,Living Room Left Window,Bedroom 2 Right Window,Kitchen Right Window,Bedroom 2 Back Window,Living Room Front Window,Kitchen Front Window,Bedroom 1 Back Window
12:53:07,68.6,39.7,69.2,39.7,67.9,40.0,67.9,39.7,70.8,40.0,71.5,39.7,68.2,39.3,66.9,40.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:37,68.2,39.7,69.5,39.7,67.3,40.0,67.9,39.7,70.8,40.0,71.8,39.7,68.6,39.7,66.9,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:53:52,68.6,39.7,69.5,39.7,67.6,40.0,68.9,39.7,70.8,40.0,71.8,39.7,69.2,39.7,67.3,40.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:09,68.9,39.7,69.5,40.0,67.9,39.7,69.2,39.7,71.2,40.0,72.1,39.7,69.2,39.7,67.6,40.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:22,69.2,39.7,70.2,39.7,68.2,40.0,69.2,39.7,72.1,40.0,72.5,39.7,69.9,39.7,67.9,40.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:27,69.2,39.7,70.8,40.0,68.9,40.0,69.9,39.7,72.1,40.0,72.8,39.7,69.9,39.7,68.9,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:54:44,69.5,39.7,70.8,40.0,68.9,40.0,69.9,39.7,72.1,40.0,72.8,39.7,69.9,39.7,68.9,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:01,69.5,39.7,70.8,40.0,69.5,40.0,70.5,39.7,72.5,40.0,72.8,39.7,69.9,40.0,68.9,40.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:14,69.9,40.0,71.2,40.0,69.9,40.0,70.8,40.0,72.8,40.4,73.4,39.7,70.2,40.0,68.9,40.4,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
12:55:31,69.9,39.7,71.5,40.0,70.5,40.0,71.2,39.7,73.1,40.0,73.4,40.0,70.5,40.0,70.2,40.8,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
